striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
CA Ingram,1,78,50,1,8,3,4,8,0,156.0,78,8,6,-2,0,4,0,0,0,0,106.0
D van Niekerk,2,130,95,2,17,4,8,16,0,136.8421052631579,130,17,8,-4,0,0,2,0,0,0,88.5
MN van Wyk,2,118,73,2,10,7,4,8,16,161.64383561643837,118,10,14,-4,0,4,0,0,0,0,85.0
E Lewis,8,473,224,8,30,44,24,32,32,211.16071428571428,473,30,88,-16,6,0,0,0,0,-6,82.875
Ibrahim Zadran,1,64,59,1,4,2,4,8,0,108.47457627118644,64,4,4,-2,0,0,0,0,0,0,82.0
M Klinger,1,62,43,1,6,1,4,8,0,144.1860465116279,62,6,2,-2,0,0,2,0,0,0,82.0
AP Devcich,1,59,31,1,10,1,4,8,0,190.3225806451613,59,10,2,-2,6,0,0,0,0,-6,81.0
Shan Masood,2,121,83,2,7,5,8,16,0,145.78313253012047,121,7,10,-4,0,0,2,0,0,0,80.0
Nazimuddin,2,123,98,2,8,8,8,8,0,125.51020408163265,123,8,16,-4,0,0,0,0,0,0,79.5
WA Young,1,53,30,1,2,4,4,8,0,176.66666666666666,53,2,8,-2,6,0,0,0,0,-6,73.0
BL Mooney,8,449,295,8,61,2,24,40,16,152.20338983050848,449,61,4,-16,0,4,0,0,0,0,72.75
EJ Villani,4,220,139,4,26,5,12,24,0,158.27338129496403,220,26,10,-8,0,4,0,0,0,0,72.0
DP Conway,8,445,281,8,41,19,28,32,0,158.3629893238434,445,41,38,-16,0,4,0,0,0,0,71.5
TT Beaumont,7,380,226,7,49,8,20,24,16,168.141592920354,380,49,16,-14,0,4,0,0,0,0,70.71428571428571
AJ Healy,9,474,272,9,61,19,24,32,16,174.26470588235296,474,61,38,-18,6,0,0,0,0,-6,69.66666666666667
L Winfield,2,107,72,2,14,1,8,8,0,148.61111111111111,107,14,2,-4,0,0,2,0,0,0,68.5
SW Bates,4,206,134,4,26,3,8,16,16,153.73134328358208,206,26,6,-8,0,4,0,0,0,0,68.5
BB McCullum,13,655,386,13,62,37,36,48,32,169.68911917098447,655,62,74,-26,0,4,0,0,0,0,68.07692307692308
AC Jayangani,4,197,149,4,26,6,12,8,16,132.21476510067114,197,26,12,-8,0,0,2,0,0,0,66.25
A Symonds,5,253,133,5,23,10,20,16,0,190.22556390977442,253,23,20,-10,6,0,0,0,0,-6,64.4
DS Smith,2,96,68,2,10,3,8,8,0,141.1764705882353,96,10,6,-4,0,0,2,0,0,0,63.0
