striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
ML Hayden,3,198,129,3,27,6,12,24,0,153.48837209302326,198,27,12,-6,0,4,0,0,0,0,90.33333333333333
ME Trescothick,1,53,36,1,9,0,4,8,0,147.22222222222223,53,9,0,-2,0,0,2,0,0,0,74.0
SSJ Brooks,1,56,59,1,3,2,4,8,0,94.91525423728814,56,3,4,-2,0,0,0,0,0,0,73.0
SC Taylor,2,97,69,2,12,0,8,8,0,140.57971014492753,97,12,0,-4,0,0,2,0,0,0,61.5
M Vijay,1,48,46,1,2,3,4,0,0,104.34782608695652,48,2,6,-2,0,0,0,0,0,0,58.0
AL Watkins,3,130,98,3,16,2,8,8,0,132.6530612244898,130,16,4,-6,0,0,2,0,0,0,54.0
TM McGrath,5,212,146,5,31,2,16,8,0,145.2054794520548,212,31,4,-10,0,0,2,0,0,0,52.6
AE Smith,1,44,47,1,3,1,4,0,0,93.61702127659575,44,3,2,-2,0,0,0,0,0,0,51.0
S Badrinath,1,43,37,1,5,0,4,0,0,116.21621621621621,43,5,0,-2,0,0,0,0,0,0,50.0
KL Rolton,1,43,37,1,2,0,4,0,0,116.21621621621621,43,2,0,-2,0,0,0,0,0,0,47.0
Mukhtar Ahmed,1,37,30,1,5,1,4,0,0,123.33333333333334,37,5,2,-2,0,0,0,0,0,0,46.0
D Mongia,1,38,45,1,4,1,4,0,0,84.44444444444444,38,4,2,-2,0,0,0,0,0,0,46.0
AC Gilchrist,4,144,103,4,12,6,12,0,0,139.80582524271844,144,12,12,-8,0,0,2,0,0,0,43.5
IR Bell,4,140,110,4,18,2,8,8,0,127.27272727272727,140,18,4,-8,0,0,0,0,0,0,42.5
EA Burns,1,30,18,1,6,0,4,0,0,166.66666666666669,30,6,0,-2,0,4,0,0,0,0,42.0
KP Pietersen,19,654,493,19,65,17,44,32,0,132.65720081135902,654,65,34,-38,0,0,2,0,0,0,41.73684210526316
KA Jamieson,1,30,18,1,5,0,4,0,0,166.66666666666669,30,5,0,-2,0,4,0,0,0,0,41.0
FH Allen,6,189,115,6,18,11,8,16,0,164.34782608695653,189,18,22,-12,0,4,0,0,0,0,40.833333333333336
BOP Fernando,3,94,61,3,10,3,4,8,0,154.0983606557377,94,10,6,-6,0,4,0,0,0,0,40.0
TM Dowlin,2,68,69,2,8,0,8,0,0,98.55072463768117,68,8,0,-4,0,0,0,0,0,0,40.0
JC Buttler,32,1019,761,32,83,37,56,64,0,133.90275952693824,1019,83,74,-64,0,0,2,0,0,0,38.5625
V Kohli,46,1470,1213,46,138,33,80,104,0,121.1871393239901,1470,138,66,-92,0,0,0,0,0,0,38.391304347826086
MEK Hussey,10,314,246,10,22,9,20,24,0,127.64227642276423,314,22,18,-20,0,0,0,0,0,0,37.8
Q de Kock,29,900,696,29,95,27,60,40,0,129.31034482758622,900,95,54,-58,0,0,0,0,0,0,37.62068965517241
BA King,9,256,197,9,26,10,16,24,0,129.9492385786802,256,26,20,-18,0,0,0,0,0,0,36.0
Babar Azam,41,1241,1094,41,117,14,76,96,0,113.43692870201096,1241,117,28,-82,0,0,0,0,0,0,36.0
AK Markram,8,221,164,8,21,10,12,16,0,134.7560975609756,221,21,20,-16,0,0,2,0,0,0,34.5
FG Kemp,2,52,41,2,3,3,4,8,0,126.82926829268293,52,3,6,-4,0,0,0,0,0,0,34.5
DP Conway,10,299,261,10,27,5,20,8,0,114.55938697318007,299,27,10,-20,0,0,0,0,0,0,34.4
SFM Devine,53,1478,1243,53,136,55,88,96,0,118.90587288817377,1478,136,110,-106,0,0,0,0,0,0,34.0
Junaid Siddique,3,80,57,3,8,3,4,8,0,140.35087719298244,80,8,6,-6,0,0,2,0,0,0,34.0
Mohammad Rizwan,25,708,642,25,58,18,44,40,0,110.28037383177569,708,58,36,-50,0,0,0,0,0,0,33.44
SR Taylor,48,1374,1411,48,134,16,88,56,0,97.37774627923459,1374,134,32,-96,0,0,0,0,0,0,33.083333333333336
UT Khawaja,5,137,113,5,20,1,8,8,0,121.23893805309736,137,20,2,-10,0,0,0,0,0,0,33.0
L Vincent,4,117,114,4,11,2,8,0,0,102.63157894736842,117,11,4,-8,0,0,0,0,0,0,33.0
KL Rahul,22,580,486,22,51,18,28,48,16,119.34156378600822,580,51,36,-44,0,0,0,0,0,0,32.5
JM Vince,8,220,186,8,26,5,12,8,0,118.27956989247312,220,26,10,-16,0,0,0,0,0,0,32.5
SR Watson,31,806,581,31,67,41,48,56,0,138.7263339070568,806,67,82,-62,0,0,2,0,0,0,32.225806451612904
SS Iyer,14,380,294,14,31,13,24,16,0,129.2517006802721,380,31,26,-28,0,0,0,0,0,0,32.07142857142857
JH Kallis,14,371,337,14,30,10,20,24,0,110.08902077151335,371,30,20,-28,0,0,0,0,0,0,31.214285714285715
SD Hope,6,147,110,6,12,7,8,16,0,133.63636363636365,147,12,14,-12,0,0,2,0,0,0,31.166666666666668
MN Samuels,33,868,824,33,72,33,48,40,0,105.33980582524272,868,72,66,-66,0,0,0,0,0,0,31.151515151515152
P Nissanka,14,369,345,14,34,8,28,16,0,106.95652173913044,369,34,16,-28,0,0,0,0,0,0,31.071428571428573
SJ Taylor,46,1229,1094,46,136,3,68,80,0,112.3400365630713,1229,136,6,-92,0,0,0,0,0,0,31.02173913043478
GH Worker,1,28,26,1,3,1,0,0,0,107.6923076923077,28,3,2,-2,0,0,0,0,0,0,31.0
JM Kemp,6,157,138,6,12,8,4,8,0,113.76811594202898,157,12,16,-12,0,0,0,0,0,0,30.833333333333332
AJ Finch,53,1351,1017,53,129,51,100,56,0,132.8416912487709,1351,129,102,-106,0,0,2,0,0,0,30.830188679245282
DJS Dottin,54,1390,1148,54,131,55,84,56,0,121.08013937282229,1390,131,110,-108,0,0,0,0,0,0,30.796296296296298
C Munro,23,580,409,23,50,33,32,24,0,141.80929095354523,580,50,66,-46,0,0,2,0,0,0,30.782608695652176
DA Warner,56,1431,1080,56,152,43,72,88,0,132.5,1431,152,86,-112,0,0,2,0,0,0,30.696428571428573
HE van der Dussen,11,290,261,11,17,7,20,16,0,111.11111111111111,290,17,14,-22,0,0,0,0,0,0,30.454545454545453
S Mandhana,61,1519,1239,61,211,29,84,88,0,122.59887005649716,1519,211,58,-122,0,0,0,0,0,0,30.131147540983605
AD Hales,25,627,487,25,67,18,32,40,0,128.74743326488706,627,67,36,-50,0,0,0,0,0,0,30.08
JP Inglis,4,107,76,4,11,2,4,0,0,140.78947368421052,107,11,4,-8,0,0,2,0,0,0,30.0
KM Jadhav,1,27,27,1,3,1,0,0,0,100.0,27,3,2,-2,0,0,0,0,0,0,30.0
F du Plessis,22,571,482,22,49,13,28,24,0,118.46473029045643,571,49,26,-44,0,0,0,0,0,0,29.727272727272727
MDKJ Perera,27,686,554,27,62,18,40,32,0,123.82671480144406,686,62,36,-54,0,0,0,0,0,0,29.703703703703702
CD McMillan,3,75,50,3,4,5,4,0,0,150.0,75,4,10,-6,0,0,2,0,0,0,29.666666666666668
M Bhanuka,2,54,58,2,5,0,4,0,0,93.10344827586206,54,5,0,-4,0,0,0,0,0,0,29.5
MM Lanning,62,1573,1502,62,182,19,84,56,0,104.72703062583221,1573,182,38,-124,0,0,0,0,0,0,29.177419354838708
PHKD Mendis,2,51,45,2,3,2,4,0,0,113.33333333333333,51,3,4,-4,0,0,0,0,0,0,29.0
A Flintoff,2,48,35,2,6,1,4,0,0,137.14285714285714,48,6,2,-4,0,0,2,0,0,0,29.0
D Ganga,1,26,31,1,3,1,0,0,0,83.87096774193549,26,3,2,-2,0,0,0,0,0,0,29.0
PG Raut,13,329,351,13,39,0,16,16,0,93.73219373219374,329,39,0,-26,0,0,0,0,0,0,28.76923076923077
D van Niekerk,47,1186,1337,47,112,17,56,40,0,88.7060583395662,1186,112,34,-94,0,0,0,0,0,0,28.382978723404257
A Bosch,8,191,176,8,25,1,8,16,0,108.52272727272727,191,25,2,-16,0,0,0,0,0,0,28.25
A Capsey,6,146,121,6,19,2,12,0,0,120.66115702479338,146,19,4,-12,0,0,0,0,0,0,28.166666666666668
M Raj,36,897,991,36,97,1,44,40,0,90.5146316851665,897,97,2,-72,0,0,0,0,0,0,28.0
PA Patel,1,26,20,1,2,1,0,0,0,130.0,26,2,2,-2,0,0,0,0,0,0,28.0
Mirwais Ashraf,2,51,47,2,3,3,0,0,0,108.51063829787233,51,3,6,-4,0,0,0,0,0,0,28.0
MJ Guptill,41,950,759,41,83,43,56,48,0,125.16469038208169,950,83,86,-82,0,0,0,0,0,0,27.829268292682926
DJ Malan,17,411,363,17,48,6,20,16,0,113.22314049586777,411,48,12,-34,0,0,0,0,0,0,27.823529411764707
C Brits,3,72,69,3,7,1,8,0,0,104.34782608695652,72,7,2,-6,0,0,0,0,0,0,27.666666666666668
KNA Bandara,3,75,60,3,4,3,4,0,0,125.0,75,4,6,-6,0,0,0,0,0,0,27.666666666666668
CM Edwards,42,1008,1002,42,139,1,52,40,0,100.59880239520957,1008,139,2,-84,0,0,0,0,0,0,27.547619047619047
Shafali Verma,35,798,598,35,98,32,48,24,0,133.44481605351172,798,98,64,-70,0,0,2,0,0,0,27.542857142857144
HC Brook,2,46,34,2,7,0,4,0,0,135.29411764705884,46,7,0,-4,0,0,2,0,0,0,27.5
C Kieswetter,17,390,344,17,37,15,20,24,0,113.37209302325581,390,37,30,-34,0,0,0,0,0,0,27.470588235294116
CA Ingram,5,115,91,5,12,4,12,0,0,126.37362637362637,115,12,8,-10,0,0,0,0,0,0,27.4
T Brits,14,333,323,14,38,2,12,24,0,103.09597523219813,333,38,4,-28,0,0,0,0,0,0,27.357142857142858
KC Sangakkara,31,751,718,31,76,5,40,32,0,104.59610027855153,751,76,10,-62,0,0,0,0,0,0,27.322580645161292
BL Mooney,45,1063,940,45,132,6,48,64,0,113.08510638297872,1063,132,12,-90,0,0,0,0,0,0,27.31111111111111
JWM Dalrymple,1,27,28,1,2,0,0,0,0,96.42857142857143,27,2,0,-2,0,0,0,0,0,0,27.0
Sabbir Rahman,15,346,297,15,40,7,16,16,0,116.4983164983165,346,40,14,-30,0,0,0,0,0,0,26.8
LJ Poulton,4,95,92,4,12,0,8,0,0,103.26086956521738,95,12,0,-8,0,0,0,0,0,0,26.75
DPMD Jayawardene,28,648,557,28,79,7,32,32,0,116.3375224416517,648,79,14,-56,0,0,0,0,0,0,26.75
XM Marshall,3,64,40,3,6,4,4,0,0,160.0,64,6,8,-6,0,4,0,0,0,0,26.666666666666668
Iftikhar Ahmed,13,308,246,13,24,10,12,8,0,125.20325203252031,308,24,20,-26,0,0,0,0,0,0,26.615384615384617
TM Dilshan,42,956,857,42,117,12,52,48,0,111.55192532088682,956,117,24,-84,0,0,0,0,0,0,26.5
JI Rodrigues,41,954,899,41,96,9,60,40,0,106.11790878754171,954,96,18,-82,0,0,0,0,0,0,26.48780487804878
RR Rossouw,9,200,138,9,18,8,12,8,0,144.92753623188406,200,18,16,-18,0,0,2,0,0,0,26.444444444444443
Hazratullah,10,221,186,10,25,9,12,8,0,118.81720430107528,221,25,18,-20,0,0,0,0,0,0,26.4
BB McCullum,31,707,619,31,74,15,36,32,0,114.21647819063006,707,74,30,-62,0,0,0,0,0,0,26.35483870967742
Salman Butt,9,208,203,9,21,3,12,8,0,102.46305418719213,208,21,6,-18,0,0,0,0,0,0,26.333333333333332
T Bavuma,10,237,214,10,20,5,16,0,0,110.74766355140187,237,20,10,-20,0,0,0,0,0,0,26.3
SIR Dunkley,16,366,327,16,38,7,16,16,0,111.92660550458714,366,38,14,-32,0,0,0,0,0,0,26.125
KS Williamson,30,711,679,30,63,6,48,8,0,104.71281296023565,711,63,12,-60,0,0,0,0,0,0,26.066666666666666
JM Bairstow,27,584,433,27,49,25,32,40,0,134.8729792147806,584,49,50,-54,0,0,2,0,0,0,26.037037037037038
SW Bates,55,1257,1257,55,131,11,76,56,0,100.0,1257,131,22,-110,0,0,0,0,0,0,26.036363636363635
H Klaasen,9,200,145,9,20,7,8,8,0,137.93103448275863,200,20,14,-18,0,0,2,0,0,0,26.0
WA Young,4,93,107,4,12,1,4,0,0,86.91588785046729,93,12,2,-8,0,0,0,0,0,0,25.75
EJ Villani,35,766,694,35,99,4,48,48,0,110.37463976945246,766,99,8,-70,0,0,0,0,0,0,25.685714285714287
L Wolvaardt,24,527,466,24,64,5,28,32,0,113.09012875536482,527,64,10,-48,0,0,0,0,0,0,25.541666666666668
JJ Roy,25,536,388,25,60,21,24,24,0,138.1443298969072,536,60,42,-50,0,0,2,0,0,0,25.52
MR Marsh,24,527,460,24,40,18,32,24,0,114.56521739130434,527,40,36,-48,0,0,0,0,0,0,25.458333333333332
Anamul Haque,7,152,142,7,15,8,8,0,0,107.04225352112675,152,15,16,-14,0,0,0,0,0,0,25.285714285714285
Rahmanullah Gurbaz,10,210,161,10,15,14,8,8,0,130.43478260869566,210,15,28,-20,0,0,2,0,0,0,25.1
GJ Maxwell,43,928,691,43,70,35,44,32,16,134.29811866859623,928,70,70,-86,0,0,2,0,0,0,25.023255813953487
KA Maharaj,2,41,37,2,5,2,4,0,0,110.8108108108108,41,5,4,-4,0,0,0,0,0,0,25.0
L Ronchi,11,231,161,11,21,7,20,8,0,143.47826086956522,231,21,14,-22,0,0,2,0,0,0,24.90909090909091
Noor Ali Zadran,6,128,118,6,13,2,8,8,0,108.47457627118644,128,13,4,-12,0,0,0,0,0,0,24.833333333333332
KR Mayers,4,83,78,4,14,1,8,0,0,106.41025641025641,83,14,2,-8,0,0,0,0,0,0,24.75
JP Duminy,40,883,856,40,66,20,56,24,0,103.15420560747664,883,66,40,-80,0,0,0,0,0,0,24.725
N Pooran,23,470,383,23,32,29,20,24,0,122.7154046997389,470,32,58,-46,0,0,0,0,0,0,24.26086956521739
Najibullah Zadran,18,382,302,18,25,20,16,8,0,126.49006622516556,382,25,40,-36,0,0,0,0,0,0,24.166666666666668
Bismah Maroof,66,1455,1581,66,121,0,92,56,0,92.0303605313093,1455,121,0,-132,0,0,0,0,0,0,24.12121212121212
LRPL Taylor,41,891,803,41,55,28,44,24,0,110.95890410958904,891,55,56,-82,0,0,0,0,0,0,24.097560975609756
DJ Hooda,1,21,16,1,1,1,0,0,0,131.25,21,1,2,-2,0,0,2,0,0,0,24.0
FL Reifer,1,22,20,1,2,1,0,0,0,110.00000000000001,22,2,2,-2,0,0,0,0,0,0,24.0
Sahibzada Farhan,2,40,46,2,2,3,4,0,0,86.95652173913044,40,2,6,-4,0,0,0,0,0,0,24.0
EJCLRC Rainford-Brent,1,23,17,1,1,0,0,0,0,135.29411764705884,23,1,0,-2,0,0,2,0,0,0,24.0
H Kaur,61,1305,1290,61,129,25,64,32,0,101.16279069767442,1305,129,50,-122,0,0,0,0,0,0,23.901639344262296
DR Smith,10,199,163,10,20,10,12,8,0,122.08588957055215,199,20,20,-20,0,0,0,0,0,0,23.9
OA Shah,5,106,99,5,5,5,8,0,0,107.07070707070707,106,5,10,-10,0,0,0,0,0,0,23.8
Misbah-ul-Haq,19,416,442,19,23,13,16,8,0,94.11764705882352,416,23,26,-38,0,0,0,0,0,0,23.736842105263158
Asad Shafiq,6,131,126,6,12,1,8,0,0,103.96825396825398,131,12,2,-12,0,0,0,0,0,0,23.5
TL Seifert,12,241,207,12,18,11,16,8,0,116.42512077294687,241,18,22,-24,0,0,0,0,0,0,23.416666666666668
Sharjeel Khan,12,239,208,12,28,9,12,8,0,114.90384615384615,239,28,18,-24,0,0,0,0,0,0,23.416666666666668
AC Jayangani,60,1221,1230,60,162,22,72,24,0,99.26829268292683,1221,162,44,-120,0,0,0,0,0,0,23.383333333333333
DJ Mitchell,9,186,143,9,13,7,12,0,0,130.06993006993005,186,13,14,-18,0,0,2,0,0,0,23.22222222222222
DM Bravo,9,185,188,9,13,8,12,0,0,98.40425531914893,185,13,16,-18,0,0,0,0,0,0,23.11111111111111
MJ Clarke,10,227,261,10,10,3,8,0,0,86.97318007662835,227,10,6,-20,0,0,0,0,0,0,23.1
Yuvraj Singh,26,520,473,26,32,27,20,24,0,109.93657505285412,520,32,54,-52,0,0,0,0,0,0,23.0
CA Lynn,9,175,137,9,19,9,12,0,0,127.73722627737227,175,19,18,-18,0,0,0,0,0,0,22.88888888888889
TWM Latham,8,171,170,8,14,1,4,8,0,100.58823529411765,171,14,2,-16,0,0,0,0,0,0,22.875
Ibrahim Zadran,5,104,113,5,8,2,8,0,0,92.03539823008849,104,8,4,-10,0,0,0,0,0,0,22.8
L Lee,58,1135,1046,58,129,33,52,56,0,108.50860420650095,1135,129,66,-116,0,0,0,0,0,0,22.79310344827586
Khalid Latif,9,175,171,9,20,4,12,8,0,102.3391812865497,175,20,8,-18,0,0,0,0,0,0,22.77777777777778
S Dhawan,33,643,613,33,71,13,48,24,0,104.89396411092986,643,71,26,-66,0,0,0,0,0,0,22.606060606060606
MS Chapman,5,96,64,5,11,3,8,0,0,150.0,96,11,6,-10,0,0,2,0,0,0,22.6
GC Smith,20,401,389,20,52,4,20,8,0,103.08483290488432,401,52,8,-40,0,0,0,0,0,0,22.45
Kamran Akmal,29,560,461,29,54,21,32,16,0,121.47505422993493,560,54,42,-58,0,0,0,0,0,0,22.275862068965516
Shoaib Malik,53,1083,1001,53,94,18,48,24,0,108.19180819180818,1083,94,36,-106,0,0,0,0,0,0,22.245283018867923
E Lewis,28,524,423,28,38,37,16,24,0,123.87706855791963,524,38,74,-56,0,0,0,0,0,0,22.142857142857142
DS Smith,3,56,41,3,6,2,4,0,0,136.58536585365854,56,6,4,-6,0,0,2,0,0,0,22.0
DC Thomas,2,36,24,2,2,2,4,0,0,150.0,36,2,4,-4,0,0,2,0,0,0,22.0
CL White,27,526,419,27,43,16,28,16,0,125.53699284009548,526,43,32,-54,0,0,0,0,0,0,21.88888888888889
G Gambhir,17,334,318,17,36,4,12,16,0,105.0314465408805,334,36,8,-34,0,0,0,0,0,0,21.88235294117647
SA Yadav,7,125,86,7,12,6,8,8,0,145.3488372093023,125,12,12,-14,0,0,2,0,0,0,21.857142857142858
RR Hendricks,19,371,331,19,40,8,16,8,0,112.08459214501512,371,40,16,-38,0,0,0,0,0,0,21.736842105263158
KIC Asalanka,11,215,186,11,19,7,12,0,0,115.59139784946237,215,19,14,-22,0,0,0,0,0,0,21.636363636363637
