player,team,role,credits,sel,PlayingXI,POINTS,bat,bowl,DT
N Pooran,wi,wk,9,92.68,0,27.2,27.2,0,0
SV Samson,ind,wk,7.5,12.57,1,26.1,26.1,0,0
SD Hope,wi,wk,7.5,2.37,1,18.88,18.88,0,1
SA Yadav,ind,bat,9,84.76,1,62.2,62.2,0,0
Shubman Gill,ind,bat,9,44.49,1,40.15,40.15,0,1
SO Hetmyer,wi,bat,8,20.97,1,49.91,49.91,0,1
R Powell,wi,bat,8,68.37,1,40.77,28.11,12.66,0
Tilak Varma,ind,bat,7.5,81.63,1,44.14,44.14,0,0
BA King,wi,bat,7.5,51.52,1,24.87,24.87,0,1
YBK Jaiswal,ind,bat,6.5,37.6,1,17.87,17.87,0,1
HH Pandya,ind,all,9,92.64,1,46.8,23.92,22.88,0
JO Holder,wi,all,8.5,25.14,1,45.44,10,35.44,0
AR Patel,ind,all,8,27.53,1,37.65,16.81,20.84,1
KR Mayers,wi,all,8,53.77,1,56,56,0,0
YS Chahal,ind,bowl,8.5,64.51,1,46.88,-1,47.88,1
Kuldeep Yadav,ind,bowl,8.5,79.34,1,48.11,4.11,44,1
Arshdeep Singh,ind,bowl,7.5,51.24,1,23.5,-1,24.5,1
R Shepherd,wi,bowl,7.5,46.39,1,84.66,36.66,48,1
Mukesh Kumar,ind,bowl,7,12.38,1,28.66,4,24.66,1
AJ Hosein,wi,bowl,7,28.69,1,43.62,17.2,26.42,0
OC McCoy,wi,bowl,7,13.47,0,40.57,-1,41.57,0
OF Smith,wi,bowl,6.5,0.34,0,37.25,6,31.25,0
