striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
KS Bharat,2,110,76,2,5,6,8,8,0,144.73684210526315,110,5,12,-4,0,0,2,0,0,0,70.5
PD Collingwood,1,53,45,1,3,2,4,8,0,117.77777777777779,53,3,4,-2,0,0,0,0,0,0,70.0
RD Gaikwad,12,548,382,12,49,23,28,48,0,143.45549738219896,548,49,46,-24,0,0,2,0,0,0,58.083333333333336
CH Gayle,25,1070,725,25,92,71,60,72,16,147.58620689655174,1070,92,142,-50,0,0,2,0,0,0,56.16
KL Rahul,27,1172,838,27,98,49,64,96,16,139.85680190930788,1172,98,98,-54,0,0,2,0,0,0,55.25925925925926
SO Hetmyer,12,463,270,12,22,37,32,32,0,171.48148148148147,463,22,74,-24,6,0,0,0,0,-6,49.916666666666664
HM Amla,5,200,157,5,26,4,8,8,0,127.38853503184713,200,26,8,-10,0,0,0,0,0,0,48.0
BB McCullum,21,788,563,21,84,35,68,24,0,139.9644760213144,788,84,70,-42,0,0,2,0,0,0,47.333333333333336
S Vidyut,2,70,51,2,8,2,4,8,0,137.2549019607843,70,8,4,-4,0,0,2,0,0,0,46.0
LMP Simmons,7,254,210,7,26,8,16,24,0,120.95238095238095,254,26,16,-14,0,0,0,0,0,0,46.0
CA Lynn,12,434,316,12,41,20,24,32,0,137.34177215189874,434,41,40,-24,0,0,2,0,0,0,45.75
JEC Franklin,4,147,105,4,13,5,8,8,0,140.0,147,13,10,-8,0,0,2,0,0,0,45.0
DJ Jacobs,1,32,20,1,5,1,4,0,0,160.0,32,5,2,-2,0,4,0,0,0,0,45.0
DA Warner,42,1505,1153,42,147,47,84,120,16,130.52905464006938,1505,147,94,-84,0,0,2,0,0,0,44.857142857142854
SE Marsh,19,693,546,19,77,19,48,32,0,126.92307692307692,693,77,38,-38,0,0,0,0,0,0,44.73684210526316
F du Plessis,32,1155,842,32,119,34,64,80,0,137.17339667458432,1155,119,68,-64,0,0,2,0,0,0,44.5
Tilak Varma,7,250,165,7,21,12,16,8,0,151.5151515151515,250,21,24,-14,0,4,0,0,0,0,44.142857142857146
SR Tendulkar,27,967,775,27,128,9,64,56,0,124.7741935483871,967,128,18,-54,0,0,0,0,0,0,43.666666666666664
RM Patidar,4,135,99,4,8,6,12,8,0,136.36363636363635,135,8,12,-8,0,0,2,0,0,0,42.25
V Kohli,57,1958,1518,57,162,63,116,136,16,128.9855072463768,1958,162,126,-114,0,0,0,0,0,0,42.10526315789474
Misbah-ul-Haq,1,34,28,1,4,1,4,0,0,121.42857142857142,34,4,2,-2,0,0,0,0,0,0,42.0
S Dhawan,59,1974,1521,59,223,43,112,144,32,129.78303747534517,1974,223,86,-118,0,0,0,0,0,0,41.57627118644068
D Padikkal,17,554,416,17,63,18,36,24,16,133.1730769230769,554,63,36,-34,0,0,2,0,0,0,41.0
