striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
Vivrant Sharma,1,69,47,1,9,2,4,8,0,146.80851063829786,69,9,4,-2,0,0,2,0,0,0,94.0
A Symonds,4,265,157,4,24,13,16,24,16,168.78980891719746,265,24,26,-8,0,4,0,0,0,0,91.75
DP Conway,9,592,363,9,63,26,32,48,0,163.0853994490358,592,63,52,-18,0,4,0,0,0,0,85.88888888888889
Niraj Patel,1,57,39,1,10,0,4,8,0,146.15384615384613,57,10,0,-2,0,0,2,0,0,0,79.0
B Sai Sudharsan,5,274,182,5,26,11,20,16,0,150.54945054945054,274,26,22,-10,0,4,0,0,0,0,70.4
HM Amla,6,302,183,6,29,14,12,24,32,165.0273224043716,302,29,28,-12,0,4,0,0,0,0,69.83333333333333
MEK Hussey,16,849,568,16,90,28,44,64,16,149.4718309859155,849,90,56,-32,0,0,2,0,0,0,68.0625
ML Hayden,8,401,231,8,44,22,20,32,0,173.5930735930736,401,44,44,-16,6,0,0,0,0,-6,65.625
RM Patidar,4,187,115,4,17,11,8,8,16,162.6086956521739,187,17,22,-8,0,4,0,0,0,0,63.5
JC Buttler,35,1657,979,35,170,89,80,112,64,169.25434116445354,1657,170,178,-70,0,4,0,0,0,0,62.714285714285715
JD Ryder,5,231,142,5,20,12,16,24,0,162.67605633802816,231,20,24,-10,0,4,0,0,0,0,61.8
DA Warner,50,2347,1466,50,231,106,132,208,48,160.09549795361528,2347,231,212,-100,0,4,0,0,0,0,61.64
JM Bairstow,12,553,343,12,55,29,32,40,16,161.22448979591837,553,55,58,-24,0,4,0,0,0,0,61.166666666666664
SE Marsh,24,1133,757,24,118,45,56,96,16,149.66974900924703,1133,118,90,-48,0,0,2,0,0,0,60.958333333333336
LMP Simmons,10,455,334,10,46,22,28,48,0,136.22754491017963,455,46,44,-20,0,0,2,0,0,0,60.3
GC Smith,8,379,253,8,49,9,16,32,0,149.80237154150197,379,49,18,-16,0,0,2,0,0,0,60.0
MC Juneja,1,49,40,1,6,0,4,0,0,122.50000000000001,49,6,0,-2,0,0,0,0,0,0,57.0
PD Salt,4,175,100,4,19,8,8,16,0,175.0,175,19,16,-8,6,0,0,0,0,-6,56.5
KL Rahul,39,1710,1196,39,144,77,92,128,48,142.97658862876256,1710,144,154,-78,0,0,2,0,0,0,56.41025641025641
SC Ganguly,12,512,406,12,58,18,36,40,0,126.10837438423646,512,58,36,-24,0,0,0,0,0,0,54.833333333333336
CH Gayle,56,2295,1398,56,171,188,104,152,80,164.16309012875536,2295,171,376,-112,0,4,0,0,0,0,54.82142857142857
YV Takawale,1,45,36,1,5,1,4,0,0,125.0,45,5,2,-2,0,0,0,0,0,0,54.0
D Brevis,2,80,38,2,10,6,8,0,0,210.52631578947367,80,10,12,-4,6,0,0,0,0,-6,53.0
AM Rahane,37,1544,1064,37,162,45,84,104,32,145.11278195488723,1544,162,90,-74,0,0,2,0,0,0,52.54054054054054
BB McCullum,23,920,592,23,92,49,52,56,32,155.4054054054054,920,92,98,-46,0,4,0,0,0,0,52.52173913043478
SA Asnodkar,5,199,135,5,29,5,16,16,0,147.40740740740742,199,29,10,-10,0,0,2,0,0,0,52.4
MJ Clarke,1,41,31,1,7,0,4,0,0,132.25806451612902,41,7,0,-2,0,0,2,0,0,0,52.0
YBK Jaiswal,18,701,453,18,90,28,44,56,16,154.74613686534215,701,90,56,-36,0,4,0,0,0,0,51.72222222222222
AB de Villiers,59,2297,1268,59,191,134,132,176,48,181.15141955835963,2297,191,268,-118,6,0,0,0,0,-6,50.74576271186441
F du Plessis,38,1504,994,38,136,66,88,120,0,151.30784708249496,1504,136,132,-76,0,4,0,0,0,0,50.21052631578947
MS Bisla,10,397,273,10,49,14,16,24,0,145.4212454212454,397,49,28,-20,0,0,2,0,0,0,49.6
C Green,11,408,249,11,36,21,28,24,16,163.85542168674698,408,36,42,-22,0,4,0,0,0,0,48.72727272727273
H Klaasen,10,374,208,10,28,21,20,24,16,179.80769230769232,374,28,42,-20,6,0,0,0,0,-6,48.4
KR Mayers,7,248,146,7,27,15,16,24,0,169.86301369863014,248,27,30,-14,0,4,0,0,0,0,47.857142857142854
S Dhawan,59,2261,1605,59,254,60,124,168,0,140.87227414330218,2261,254,120,-118,0,0,2,0,0,0,47.644067796610166
JH Kallis,15,577,454,15,54,18,28,48,0,127.09251101321586,577,54,36,-30,0,0,0,0,0,0,47.53333333333333
Shubman Gill,32,1190,767,32,110,44,60,72,48,155.14993481095175,1190,110,88,-64,0,4,0,0,0,0,47.125
JJ Roy,8,280,166,8,27,17,16,24,0,168.67469879518075,280,27,34,-16,0,4,0,0,0,0,46.125
Q de Kock,31,1122,715,31,115,47,52,72,32,156.92307692307693,1122,115,94,-62,0,4,0,0,0,0,46.096774193548384
RD Gaikwad,20,721,500,20,62,35,48,40,16,144.2,721,62,70,-40,0,0,2,0,0,0,45.95
Atharva Taide,5,182,124,5,19,6,8,16,0,146.7741935483871,182,19,12,-10,0,0,2,0,0,0,45.8
V Kohli,84,3021,2164,84,277,99,160,224,96,139.6025878003697,3021,277,198,-168,0,0,2,0,0,0,45.357142857142854
