striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
N Wadhera,1,64,51,1,8,1,4,8,0,125.49019607843137,64,8,2,-2,0,0,0,0,0,0,84.0
B Sai Sudharsan,2,84,70,2,7,1,4,8,0,120.0,84,7,2,-4,0,0,0,0,0,0,50.5
Salman Butt,4,158,131,4,23,2,8,8,0,120.61068702290076,158,23,4,-8,0,0,0,0,0,0,48.25
C Munro,2,67,48,2,8,3,4,0,0,139.58333333333331,67,8,6,-4,0,0,2,0,0,0,41.5
Sikandar Raza,2,62,47,2,4,3,4,8,0,131.91489361702128,62,4,6,-4,0,0,2,0,0,0,41.0
ML Hayden,10,325,266,10,30,11,20,24,0,122.18045112781954,325,30,22,-20,0,0,0,0,0,0,40.1
MN van Wyk,5,167,132,5,19,1,12,8,0,126.51515151515152,167,19,2,-10,0,0,0,0,0,0,39.6
LMP Simmons,12,370,308,12,37,14,24,24,16,120.12987012987013,370,37,28,-24,0,0,0,0,0,0,39.583333333333336
KP Pietersen,18,571,409,18,53,25,32,24,16,139.6088019559902,571,53,50,-36,0,0,2,0,0,0,39.55555555555556
YBK Jaiswal,11,347,237,11,40,16,16,16,0,146.41350210970467,347,40,32,-22,0,0,2,0,0,0,39.18181818181818
RR Sarwan,1,31,29,1,4,1,4,0,0,106.89655172413792,31,4,2,-2,0,0,0,0,0,0,39.0
BJ Rohrer,3,88,58,3,11,2,4,8,0,151.72413793103448,88,11,4,-6,0,4,0,0,0,0,37.666666666666664
DA Warner,84,2547,1958,84,268,73,160,192,0,130.0817160367722,2547,268,146,-168,0,0,2,0,0,0,37.464285714285715
CA Lynn,14,409,316,14,39,21,32,24,0,129.43037974683546,409,39,42,-28,0,0,0,0,0,0,37.0
KL Rahul,42,1287,1069,42,113,42,56,72,0,120.39289055191769,1287,113,84,-84,0,0,0,0,0,0,36.38095238095238
ST Jayasuriya,16,452,326,16,45,23,24,24,16,138.65030674846625,452,45,46,-32,0,0,2,0,0,0,36.0625
PD Collingwood,2,55,49,2,1,3,4,8,0,112.24489795918366,55,1,6,-4,0,0,0,0,0,0,35.0
JM Bairstow,20,558,409,20,60,23,32,24,0,136.43031784841077,558,60,46,-40,0,0,2,0,0,0,34.1
SR Watson,63,1740,1315,63,182,78,88,88,0,132.31939163498097,1740,182,156,-126,0,0,2,0,0,0,33.80952380952381
CH Gayle,60,1632,1223,60,145,100,84,80,0,133.44235486508583,1632,145,200,-120,0,0,2,0,0,0,33.71666666666667
RM Patidar,3,82,66,3,5,4,4,8,0,124.24242424242425,82,5,8,-6,0,0,0,0,0,0,33.666666666666664
MJ Lumb,6,162,113,6,27,3,8,8,0,143.36283185840708,162,27,6,-12,0,0,2,0,0,0,33.5
RD Gaikwad,19,528,444,19,48,15,36,32,0,118.91891891891892,528,48,30,-38,0,0,0,0,0,0,33.473684210526315
TM Head,3,77,53,3,3,5,4,8,0,145.2830188679245,77,3,10,-6,0,0,2,0,0,0,32.666666666666664
F du Plessis,53,1474,1245,53,120,45,88,64,0,118.39357429718875,1474,120,90,-106,0,0,0,0,0,0,32.64150943396226
R Dravid,48,1326,1203,48,166,11,84,56,0,110.22443890274315,1326,166,22,-96,0,0,0,0,0,0,32.458333333333336
Tilak Varma,6,163,143,6,11,6,12,8,0,113.98601398601397,163,11,12,-12,0,0,0,0,0,0,32.333333333333336
G Gambhir,84,2260,1898,84,269,25,120,144,0,119.072708113804,2260,269,50,-168,0,0,0,0,0,0,31.845238095238095
SS Iyer,35,948,821,35,79,26,64,40,0,115.46894031668697,948,79,52,-70,0,0,0,0,0,0,31.8
RK Singh,8,210,167,8,19,8,16,8,0,125.74850299401197,210,19,16,-16,0,0,0,0,0,0,31.625
V Kohli,88,2294,1908,88,207,73,144,104,0,120.23060796645701,2294,207,146,-176,0,0,0,0,0,0,30.897727272727273
JC Buttler,37,946,736,37,104,29,40,48,16,128.5326086956522,946,104,58,-74,0,0,0,0,0,0,30.756756756756758
V Sehwag,50,1255,825,50,155,46,64,64,0,152.12121212121212,1255,155,92,-100,0,4,0,0,0,0,30.68
SE Marsh,26,663,568,26,74,14,44,40,0,116.72535211267605,663,74,28,-52,0,0,0,0,0,0,30.653846153846153
Shubman Gill,29,749,683,29,74,15,48,40,0,109.66325036603222,749,74,30,-58,0,0,0,0,0,0,30.448275862068964
Q de Kock,38,964,807,38,96,34,52,40,0,119.454770755886,964,96,68,-76,0,0,0,0,0,0,30.105263157894736
MEK Hussey,28,719,692,28,69,15,40,40,0,103.90173410404624,719,69,30,-56,0,0,0,0,0,0,30.071428571428573
MW Short,3,71,49,3,11,2,8,0,0,144.89795918367346,71,11,4,-6,0,0,2,0,0,0,30.0
Ishan Kishan,29,730,588,29,70,29,36,32,0,124.14965986394557,730,70,58,-58,0,0,0,0,0,0,29.93103448275862
JP Duminy,33,839,757,33,51,27,44,56,0,110.83223249669749,839,51,54,-66,0,0,0,0,0,0,29.636363636363637
RR Pant,36,876,670,36,80,30,56,40,0,130.7462686567164,876,80,60,-72,0,0,2,0,0,0,28.944444444444443
S Dhawan,98,2382,2079,98,273,46,136,104,0,114.57431457431457,2382,273,92,-196,0,0,0,0,0,0,28.479591836734695
RG Sharma,93,2240,1937,93,194,77,124,120,0,115.64274651522975,2240,194,154,-186,0,0,0,0,0,0,28.451612903225808
SPD Smith,38,963,835,38,78,17,64,16,0,115.32934131736528,963,78,34,-76,0,0,0,0,0,0,28.394736842105264
DR Smith,40,931,760,40,92,46,52,48,0,122.50000000000001,931,92,92,-80,0,0,0,0,0,0,28.375
SA Yadav,42,1004,800,42,98,33,64,40,0,125.49999999999999,1004,98,66,-84,0,0,0,0,0,0,28.285714285714285
D Salunkhe,1,26,20,1,4,0,0,0,0,130.0,26,4,0,-2,0,0,0,0,0,0,28.0
E Lewis,7,163,134,7,17,7,8,8,0,121.64179104477613,163,17,14,-14,0,0,0,0,0,0,28.0
S Sriram,1,27,29,1,3,0,0,0,0,93.10344827586206,27,3,0,-2,0,0,0,0,0,0,28.0
Anmolpreet Singh,2,47,40,2,5,2,4,0,0,117.5,47,5,4,-4,0,0,0,0,0,0,28.0
Anirudh Singh,2,49,51,2,5,1,4,0,0,96.07843137254902,49,5,2,-4,0,0,0,0,0,0,28.0
D Pretorius,1,22,14,1,2,1,0,0,0,157.14285714285714,22,2,2,-2,0,4,0,0,0,0,28.0
SR Tendulkar,36,868,832,36,95,11,56,24,0,104.32692307692308,868,95,22,-72,0,0,0,0,0,0,27.583333333333332
AC Gilchrist,40,904,699,40,110,36,40,40,16,129.32761087267525,904,110,72,-80,0,0,0,0,0,0,27.55
AD Hales,2,50,44,2,5,0,4,0,0,113.63636363636364,50,5,0,-4,0,0,0,0,0,0,27.5
RA Tripathi,35,814,612,35,79,31,44,24,0,133.00653594771242,814,79,62,-70,0,0,2,0,0,0,27.285714285714285
AM Rahane,79,1842,1610,79,187,36,100,104,0,114.40993788819875,1842,187,72,-158,0,0,0,0,0,0,27.17721518987342
VR Iyer,14,315,271,14,26,12,16,24,0,116.23616236162361,315,26,24,-28,0,0,0,0,0,0,26.928571428571427
RV Uthappa,88,2017,1645,88,208,60,116,56,0,122.61398176291793,2017,208,120,-176,0,0,0,0,0,0,26.602272727272727
KS Williamson,30,688,640,30,67,12,36,40,0,107.5,688,67,24,-60,0,0,0,0,0,0,26.5
LS Livingstone,12,257,163,12,16,20,16,8,0,157.66871165644173,257,16,40,-24,0,4,0,0,0,0,26.416666666666668
AB de Villiers,69,1571,1264,69,121,56,68,80,0,124.2879746835443,1571,121,112,-138,0,0,0,0,0,0,26.28985507246377
M Vohra,23,519,418,23,57,13,32,16,0,124.16267942583733,519,57,26,-46,0,0,0,0,0,0,26.26086956521739
BJ Hodge,36,803,692,36,78,21,48,40,0,116.04046242774567,803,78,42,-72,0,0,0,0,0,0,26.083333333333332
KR Mayers,6,131,117,6,11,7,4,8,0,111.96581196581197,131,11,14,-12,0,0,0,0,0,0,26.0
D Padikkal,21,477,429,21,51,8,20,24,0,111.18881118881119,477,51,16,-42,0,0,0,0,0,0,26.0
AP Majumdar,2,47,42,2,1,2,4,0,0,111.90476190476191,47,1,4,-4,0,0,0,0,0,0,26.0
AC Blizzard,3,58,43,3,8,2,4,8,0,134.88372093023256,58,8,4,-6,0,0,2,0,0,0,26.0
AD Russell,24,502,337,24,32,41,28,24,0,148.9614243323442,502,32,82,-48,0,0,2,0,0,0,25.916666666666668
TM Dilshan,26,563,520,26,63,11,32,40,0,108.26923076923076,563,63,22,-52,0,0,0,0,0,0,25.692307692307693
SM Katich,7,151,120,7,20,3,8,8,0,125.83333333333333,151,20,6,-14,0,0,0,0,0,0,25.571428571428573
DP Conway,8,175,163,8,20,2,12,8,0,107.36196319018406,175,20,4,-16,0,0,0,0,0,0,25.375
PA Patel,69,1504,1306,69,192,17,84,64,0,115.16079632465544,1504,192,34,-138,0,0,0,0,0,0,25.217391304347824
SP Fleming,6,131,116,6,18,2,8,0,0,112.93103448275863,131,18,4,-12,0,0,0,0,0,0,24.833333333333332
PBB Rajapaksa,5,104,75,5,11,4,8,0,0,138.66666666666669,104,11,8,-10,0,0,2,0,0,0,24.6
SV Samson,56,1215,1029,56,94,46,64,24,0,118.07580174927115,1215,94,92,-112,0,0,0,0,0,0,24.589285714285715
JJ Roy,7,152,141,7,20,1,12,0,0,107.80141843971631,152,20,2,-14,0,0,0,0,0,0,24.571428571428573
JR Philippe,2,44,48,2,5,0,4,0,0,91.66666666666666,44,5,0,-4,0,0,0,0,0,0,24.5
Abhishek Sharma,14,291,220,14,26,11,20,8,0,132.27272727272728,291,26,22,-28,0,0,2,0,0,0,24.357142857142858
R Powell,4,81,66,4,2,7,8,0,0,122.72727272727273,81,2,14,-8,0,0,0,0,0,0,24.25
M Vijay,45,940,881,45,90,20,52,48,0,106.69693530079456,940,90,40,-90,0,0,0,0,0,0,24.0
AK Markram,9,196,152,9,21,2,12,0,0,128.94736842105263,196,21,4,-18,0,0,0,0,0,0,23.88888888888889
SK Raina,90,1855,1566,90,171,56,88,96,0,118.45466155810985,1855,171,112,-180,0,0,0,0,0,0,23.8
BB Samantray,6,121,109,6,13,2,8,8,0,111.0091743119266,121,13,4,-12,0,0,0,0,0,0,23.666666666666668
Aman Hakim Khan,3,55,48,3,4,3,4,8,0,114.58333333333333,55,4,6,-6,0,0,0,0,0,0,23.666666666666668
GJ Bailey,14,294,263,14,28,6,16,8,0,111.787072243346,294,28,12,-28,0,0,0,0,0,0,23.571428571428573
MS Dhoni,90,1885,1626,90,134,71,92,48,0,115.92865928659286,1885,134,142,-180,0,0,0,0,0,0,23.566666666666666
AT Rayudu,77,1604,1491,77,133,41,88,56,0,107.57880617035546,1604,133,82,-154,0,0,0,0,0,0,23.493506493506494
AJ Finch,40,794,693,40,81,26,36,48,0,114.57431457431457,794,81,52,-80,0,0,0,0,0,0,23.275
Anuj Rawat,4,75,62,4,2,6,4,8,0,120.96774193548387,75,2,12,-8,0,0,0,0,0,0,23.25
MR Marsh,15,298,246,15,20,16,12,16,0,121.13821138211382,298,20,32,-30,0,0,0,0,0,0,23.2
PP Shaw,24,472,334,24,70,9,16,24,0,141.31736526946108,472,70,18,-48,0,0,2,0,0,0,23.083333333333332
JH Kallis,59,1209,1206,59,130,13,64,48,0,100.24875621890547,1209,130,26,-118,0,0,0,0,0,0,23.033898305084747
TK Curran,1,21,16,1,2,0,0,0,0,131.25,21,2,0,-2,0,0,2,0,0,0,23.0
KC Sangakkara,33,671,663,33,67,7,28,32,0,101.20663650075414,671,67,14,-66,0,0,0,0,0,0,22.606060606060606
JR Hopes,6,117,107,6,9,4,4,8,0,109.34579439252336,117,9,8,-12,0,0,0,0,0,0,22.333333333333332
YK Pathan,82,1587,1194,82,137,75,64,48,0,132.9145728643216,1587,137,150,-164,0,0,2,0,0,0,22.24390243902439
ER Dwivedi,1,19,9,1,1,2,0,0,0,211.11111111111111,19,1,4,-2,6,0,0,0,0,-6,22.0
N Rana,36,688,598,36,55,30,28,24,0,115.05016722408025,688,55,60,-72,0,0,0,0,0,0,21.75
Yuvraj Singh,59,1118,1028,59,87,53,56,32,0,108.75486381322956,1118,87,106,-118,0,0,0,0,0,0,21.71186440677966
A Symonds,18,354,331,18,28,12,12,8,0,106.94864048338368,354,28,24,-36,0,0,0,0,0,0,21.666666666666668
MK Pandey,75,1453,1336,75,127,35,68,56,0,108.75748502994011,1453,127,70,-150,0,0,0,0,0,0,21.653333333333332
DPMD Jayawardene,42,798,724,42,91,14,44,32,0,110.22099447513811,798,91,28,-84,0,0,0,0,0,0,21.642857142857142
MK Tiwary,44,868,813,44,71,18,48,16,0,106.7650676506765,868,71,36,-88,0,0,0,0,0,0,21.613636363636363
MM Ali,18,330,247,18,31,15,16,8,0,133.60323886639677,330,31,30,-36,0,0,2,0,0,0,21.166666666666668
SC Ganguly,33,624,661,33,56,17,40,8,0,94.40242057488653,624,56,34,-66,0,0,0,0,0,0,21.09090909090909
HR Shokeen,3,61,61,3,8,0,0,0,0,100.0,61,8,0,-6,0,0,0,0,0,0,21.0
NS Naik,1,22,28,1,1,0,0,0,0,78.57142857142857,22,1,0,-2,0,0,0,0,0,0,21.0
N Saini,4,72,59,4,8,0,4,8,0,122.03389830508475,72,8,0,-8,0,0,0,0,0,0,21.0
R Bishnoi,1,18,14,1,1,2,0,0,0,128.57142857142858,18,1,4,-2,0,0,0,0,0,0,21.0
SN Khan,12,222,183,12,20,5,16,8,0,121.31147540983606,222,20,10,-24,0,0,0,0,0,0,21.0
LA Carseldine,3,57,48,3,8,0,4,0,0,118.75,57,8,0,-6,0,0,0,0,0,0,21.0
BB McCullum,65,1174,1035,65,117,46,56,40,0,113.42995169082127,1174,117,92,-130,0,0,0,0,0,0,20.753846153846155
EJG Morgan,41,741,643,41,66,28,44,24,0,115.24105754276827,741,66,56,-82,0,0,0,0,0,0,20.70731707317073
Mandeep Singh,40,740,663,40,80,13,36,24,0,111.61387631975867,740,80,26,-80,0,0,0,0,0,0,20.65
TH David,6,104,56,6,5,9,8,0,0,185.71428571428572,104,5,18,-12,6,0,0,0,0,-6,20.5
AB Barath,2,35,32,2,4,1,4,0,0,109.375,35,4,2,-4,0,0,0,0,0,0,20.5
R Parag,16,288,241,16,18,13,12,16,0,119.50207468879668,288,18,26,-32,0,0,0,0,0,0,20.5
LA Pomersbach,9,167,149,9,12,7,8,0,0,112.08053691275168,167,12,14,-18,0,0,0,0,0,0,20.333333333333332
A Badoni,9,153,119,9,8,8,8,16,0,128.57142857142858,153,8,16,-18,0,0,0,0,0,0,20.333333333333332
RN ten Doeschate,13,228,165,13,20,10,12,8,0,138.1818181818182,228,20,20,-26,0,0,2,0,0,0,20.307692307692307
S Badrinath,29,514,478,29,48,12,28,32,0,107.53138075313808,514,48,24,-58,0,0,0,0,0,0,20.275862068965516
Y Venugopal Rao,25,473,444,25,39,12,12,8,0,106.53153153153154,473,39,24,-50,0,0,0,0,0,0,20.24
GC Smith,19,357,407,19,45,0,20,0,0,87.71498771498771,357,45,0,-38,0,0,0,0,0,0,20.210526315789473
YV Takawale,7,128,117,7,19,2,4,0,0,109.40170940170941,128,19,4,-14,0,0,0,0,0,0,20.142857142857142
TR Birt,3,55,39,3,7,1,0,0,0,141.02564102564102,55,7,2,-6,0,0,2,0,0,0,20.0
Y Gnaneswara Rao,1,19,17,1,3,0,0,0,0,111.76470588235294,19,3,0,-2,0,0,0,0,0,0,20.0
MJ Guptill,4,61,42,4,7,3,4,8,0,145.23809523809524,61,7,6,-8,0,0,2,0,0,0,20.0
Kamran Akmal,1,18,16,1,4,0,0,0,0,112.5,18,4,0,-2,0,0,0,0,0,0,20.0
KK Nair,29,511,461,29,46,15,24,24,0,110.84598698481562,511,46,30,-58,0,0,0,0,0,0,19.896551724137932
MV Boucher,16,287,238,16,25,7,16,8,0,120.58823529411764,287,25,14,-32,0,0,0,0,0,0,19.875
DJG Sammy,14,250,202,14,14,15,4,8,0,123.76237623762376,250,14,30,-28,0,0,0,0,0,0,19.857142857142858
KA Pollard,61,1068,831,61,71,62,44,24,0,128.51985559566788,1068,71,124,-122,0,0,0,0,0,0,19.81967213114754
DJ Hussey,31,554,526,31,36,24,32,0,0,105.32319391634981,554,36,48,-62,0,0,0,0,0,0,19.612903225806452
OA Shah,10,177,172,10,13,3,12,8,0,102.90697674418605,177,13,6,-20,0,0,0,0,0,0,19.6
LRPL Taylor,32,588,539,32,35,21,24,0,0,109.09090909090908,588,35,42,-64,0,0,0,0,0,0,19.53125
JM Sharma,8,139,113,8,19,3,8,0,0,123.00884955752211,139,19,6,-16,0,0,0,0,0,0,19.5
M Shahrukh Khan,11,196,162,11,10,13,4,0,0,120.98765432098766,196,10,26,-22,0,0,0,0,0,0,19.454545454545453
Y Nagar,11,208,200,11,13,5,4,0,0,104.0,208,13,10,-22,0,0,0,0,0,0,19.363636363636363
H Klaasen,3,54,42,3,4,1,4,0,0,128.57142857142858,54,4,2,-6,0,0,0,0,0,0,19.333333333333332
WP Saha,60,1042,931,60,94,27,56,24,0,111.92266380236305,1042,94,54,-120,0,0,0,0,0,0,19.166666666666668
SS Tiwary,25,433,402,25,37,9,24,16,0,107.71144278606965,433,37,18,-50,0,0,0,0,0,0,19.12
HH Pandya,37,632,558,37,48,24,28,24,0,113.26164874551972,632,48,48,-74,0,0,0,0,0,0,19.08108108108108
SM Curran,8,134,123,8,11,5,4,8,0,108.9430894308943,134,11,10,-16,0,0,0,0,0,0,18.875
DA Miller,38,675,620,38,50,16,28,8,0,108.87096774193547,675,50,32,-76,0,0,0,0,0,0,18.86842105263158
UT Khawaja,3,51,38,3,9,0,0,0,0,134.21052631578948,51,9,0,-6,0,0,2,0,0,0,18.666666666666668
M Klinger,4,73,77,4,9,0,0,0,0,94.8051948051948,73,9,0,-8,0,0,0,0,0,0,18.5
C de Grandhomme,7,112,93,7,7,6,12,0,0,120.43010752688173,112,7,12,-14,0,0,0,0,0,0,18.428571428571427
D Brevis,3,49,51,3,2,3,4,0,0,96.07843137254902,49,2,6,-6,0,0,0,0,0,0,18.333333333333332
JD Ryder,18,294,249,18,37,7,12,8,0,118.07228915662651,294,37,14,-36,0,0,0,0,0,0,18.27777777777778
HH Gibbs,16,268,287,16,26,7,8,8,0,93.37979094076655,268,26,14,-32,0,0,0,0,0,0,18.25
MD Mishra,9,149,122,9,10,7,8,0,0,122.13114754098359,149,10,14,-18,0,0,0,0,0,0,18.11111111111111
AC Voges,2,36,34,2,4,0,0,0,0,105.88235294117648,36,4,0,-4,0,0,0,0,0,0,18.0
DR Martyn,1,19,24,1,1,0,0,0,0,79.16666666666666,19,1,0,-2,0,0,0,0,0,0,18.0
SM Pollock,2,31,32,2,3,1,4,0,0,96.875,31,3,2,-4,0,0,0,0,0,0,18.0
J Botha,18,302,281,18,28,2,16,8,0,107.47330960854093,302,28,4,-36,0,0,0,0,0,0,17.88888888888889
RS Bopara,10,165,175,10,13,4,4,8,0,94.28571428571428,165,13,8,-20,0,0,0,0,0,0,17.8
TL Suman,19,302,267,19,24,12,16,8,0,113.10861423220975,302,24,24,-38,0,0,0,0,0,0,17.68421052631579
Shakib Al Hasan,26,422,358,26,40,10,20,8,0,117.87709497206704,422,40,20,-52,0,0,0,0,0,0,17.615384615384617
HM Amla,5,75,67,5,5,3,4,8,0,111.94029850746267,75,5,6,-10,0,0,0,0,0,0,17.6
MC Henriques,26,418,378,26,39,6,24,16,0,110.58201058201058,418,39,12,-52,0,0,0,0,0,0,17.576923076923077
SP Goswami,14,228,239,14,26,2,8,8,0,95.39748953974896,228,26,4,-28,0,0,0,0,0,0,17.571428571428573
KD Karthik,80,1302,1210,80,118,27,64,24,0,107.60330578512396,1302,118,54,-160,0,0,0,0,0,0,17.525
SD Chitnis,4,64,61,4,8,1,4,0,0,104.91803278688525,64,8,2,-8,0,0,0,0,0,0,17.5
DB Das,15,241,201,15,17,13,8,0,0,119.90049751243781,241,17,26,-30,0,0,0,0,0,0,17.466666666666665
S Sohal,9,138,128,9,7,11,8,0,0,107.8125,138,7,22,-18,0,0,0,0,0,0,17.444444444444443
AL Menaria,14,227,208,14,13,11,8,0,0,109.13461538461537,227,13,22,-28,0,0,0,0,0,0,17.285714285714285
KH Pandya,35,557,435,35,55,16,24,0,0,128.04597701149424,557,55,32,-70,0,0,0,0,0,0,17.085714285714285
V Shankar,19,304,301,19,28,3,8,16,0,100.99667774086379,304,28,6,-38,0,0,0,0,0,0,17.05263157894737
DJ Willey,1,18,28,1,3,0,0,0,0,64.28571428571429,18,3,0,-2,0,0,0,-2,0,0,17.0
BCJ Cutting,2,29,19,2,5,0,0,0,0,152.63157894736844,29,5,0,-4,0,4,0,0,0,0,17.0
MA Agarwal,41,633,579,41,65,17,20,24,0,109.32642487046633,633,65,34,-82,0,0,0,0,0,0,16.926829268292682
KS Bharat,5,81,82,5,5,2,4,0,0,98.78048780487805,81,5,4,-10,0,0,0,0,0,0,16.8
JEC Franklin,9,149,163,9,12,2,4,0,0,91.41104294478528,149,12,4,-18,0,0,0,0,0,0,16.77777777777778
S Anirudha,8,118,98,8,8,6,4,8,0,120.40816326530613,118,8,12,-16,0,0,0,0,0,0,16.75
SE Rutherford,3,49,58,3,1,3,0,0,0,84.48275862068965,49,1,6,-6,0,0,0,0,0,0,16.666666666666668
CJ Anderson,8,126,115,8,8,5,4,0,0,109.56521739130434,126,8,10,-16,0,0,0,0,0,0,16.5
RA Jadeja,75,1197,1096,75,74,37,36,0,0,109.2153284671533,1197,74,74,-150,0,0,0,0,0,0,16.413333333333334
K Goel,6,91,93,6,7,4,4,0,0,97.84946236559139,91,7,8,-12,0,0,0,0,0,0,16.333333333333332
R McLaren,4,53,49,4,6,1,4,8,0,108.16326530612245,53,6,2,-8,0,0,0,0,0,0,16.25
DJ Bravo,54,804,722,54,60,27,32,32,0,111.35734072022161,804,60,54,-108,0,0,0,0,0,0,16.185185185185187
PA Reddy,8,128,136,8,11,1,4,0,0,94.11764705882352,128,11,2,-16,0,0,0,0,0,0,16.125
Niraj Patel,4,62,69,4,4,1,4,0,0,89.85507246376811,62,4,2,-8,0,0,0,0,0,0,16.0
R Shepherd,2,26,16,2,2,2,0,0,0,162.5,26,2,4,-4,0,4,0,0,0,0,16.0
IK Pathan,43,651,545,43,53,20,24,0,0,119.44954128440367,651,53,40,-86,0,0,0,0,0,0,15.86046511627907
Misbah-ul-Haq,6,83,52,6,6,5,4,0,0,159.6153846153846,83,6,10,-12,0,4,0,0,0,0,15.833333333333334
AD Mathews,15,222,198,15,9,12,12,0,0,112.12121212121211,222,9,24,-30,0,0,0,0,0,0,15.8
FY Fazal,5,76,72,5,9,0,4,0,0,105.55555555555556,76,9,0,-10,0,0,0,0,0,0,15.8
DB Ravi Teja,9,134,113,9,14,2,8,0,0,118.58407079646018,134,14,4,-18,0,0,0,0,0,0,15.777777777777779
VVS Laxman,9,125,126,9,15,2,8,8,0,99.20634920634922,125,15,4,-18,0,0,0,0,0,0,15.777777777777779
W Jaffer,4,59,58,4,8,0,4,0,0,101.72413793103448,59,8,0,-8,0,0,0,0,0,0,15.75
PR Shah,3,45,44,3,4,2,0,0,0,102.27272727272727,45,4,4,-6,0,0,0,0,0,0,15.666666666666666
