bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
YA Abdulla,1,4,31,24,0,1,0,8,0,0,100,7.75,0,0,0,0,0,0,0,109.0
JM Kemp,1,3,12,18,1,0,4,0,0,0,75,4.0,6,0,0,0,0,0,0,86.0
Umar Gul,2,6,50,48,2,3,0,8,0,0,150,6.25,0,0,2,0,0,0,0,82.5
RS Hangargekar,1,3,36,24,0,0,4,0,0,0,75,9.0,0,0,0,0,0,0,0,79.0
VY Mahesh,3,8,100,72,0,3,4,8,0,0,200,8.333333333333332,0,0,0,0,0,0,0,71.66666666666667
R Rampaul,2,5,59,48,1,0,4,0,0,1,125,7.375,0,0,0,0,0,0,12,71.0
PC Valthaty,2,5,63,48,1,1,0,8,0,0,125,7.875,0,0,0,0,0,0,0,67.5
M Pathirana,2,5,74,48,1,1,4,0,0,0,125,9.25,0,0,0,0,0,0,0,65.5
S Lamichhane,4,9,124,96,1,0,8,0,0,0,225,7.75,0,0,0,0,0,0,0,58.5
S Kaushik,1,2,22,24,0,0,0,0,0,0,50,5.5,0,4,0,0,0,0,0,54.0
TK Curran,2,4,66,46,0,0,4,0,0,0,100,8.608695652173912,0,0,0,0,0,0,0,52.0
OC McCoy,1,2,35,24,0,1,0,0,0,0,50,8.75,0,0,0,0,0,0,0,51.0
M de Lange,1,2,32,24,0,1,0,0,0,0,50,8.0,0,0,0,0,0,0,0,51.0
CK Langeveldt,2,4,61,42,1,1,0,0,0,0,100,8.714285714285714,0,0,0,0,0,0,0,51.0
CRD Fernando,2,4,61,48,1,0,0,0,0,0,100,7.625,0,0,0,0,0,0,0,50.5
B Laughlin,2,4,50,30,0,1,0,0,0,0,100,10.0,0,0,0,0,0,0,0,50.5
TM Head,1,2,30,18,0,0,0,0,0,0,50,10.0,0,0,0,0,0,0,0,50.0
KMDN Kulasekara,1,2,10,12,0,0,0,0,0,0,50,5.0,0,0,0,0,0,0,0,50.0
P Amarnath,1,2,38,24,0,0,0,0,0,0,50,9.5,0,0,0,0,0,0,0,50.0
Akash Singh,1,2,40,24,0,0,0,0,0,0,50,10.0,0,0,0,0,0,0,0,50.0
SM Boland,1,2,31,24,0,0,0,0,0,0,50,7.75,0,0,0,0,0,0,0,50.0
A Singh,1,2,30,24,0,0,0,0,0,0,50,7.5,0,0,0,0,0,0,0,50.0
D Wiese,1,2,32,24,0,0,0,0,0,0,50,8.0,0,0,0,0,0,0,0,50.0
Yash Thakur,2,4,71,42,0,1,0,0,0,0,100,10.142857142857142,0,0,0,-2,0,0,0,49.5
L Ngidi,6,11,183,132,0,1,4,0,0,1,275,8.318181818181818,0,0,0,0,0,0,12,48.666666666666664
R Shepherd,1,2,42,24,0,0,0,0,0,0,50,10.5,0,0,0,-2,0,0,0,48.0
Imran Tahir,22,38,662,498,1,4,20,16,0,1,950,7.975903614457832,0,0,0,0,0,0,12,45.59090909090909
T Natarajan,11,19,379,258,3,5,4,0,0,0,475,8.813953488372093,0,0,0,0,0,0,0,44.27272727272727
WPUJC Vaas,6,10,177,138,1,2,0,0,0,1,250,7.695652173913043,0,0,0,0,0,0,12,44.166666666666664
K Santokie,1,2,50,24,0,0,0,0,0,0,50,12.5,0,0,0,0,0,-6,0,44.0
P Awana,9,15,273,216,1,3,8,8,0,0,375,7.583333333333333,0,0,0,0,0,0,0,43.888888888888886
GC Viljoen,3,5,101,66,1,1,0,0,0,0,125,9.181818181818182,0,0,0,0,0,0,0,42.333333333333336
KMA Paul,3,5,115,66,0,0,4,0,0,0,125,10.454545454545455,0,0,0,-2,0,0,0,42.333333333333336
K Rabada,15,24,460,348,0,1,8,0,0,1,600,7.931034482758621,0,0,0,0,0,0,12,41.4
AG Murtaza,2,3,49,48,1,0,4,0,0,0,75,6.125,0,0,2,0,0,0,0,41.0
JP Behrendorff,5,8,161,108,0,0,4,0,0,0,200,8.944444444444445,0,0,0,0,0,0,0,40.8
DP Nannes,7,11,201,157,1,1,8,0,0,0,275,7.681528662420382,0,0,0,0,0,0,0,40.714285714285715
Vijaykumar Vyshak,2,3,49,42,0,0,4,0,0,0,75,7.0,0,0,2,0,0,0,0,40.5
CR Woakes,7,11,240,162,0,2,4,0,0,0,275,8.88888888888889,0,0,0,0,0,0,0,40.142857142857146
Umran Malik,4,6,138,90,1,1,4,0,0,0,150,9.200000000000001,0,0,0,0,0,0,0,39.0
Karanveer Singh,4,6,129,96,0,1,4,0,0,0,150,8.0625,0,0,0,0,0,0,0,38.75
MG Bracewell,2,3,32,30,0,0,0,0,0,0,75,6.4,0,0,2,0,0,0,0,38.5
KC Cariappa,2,3,44,30,0,1,0,0,0,0,75,8.799999999999999,0,0,0,0,0,0,0,38.0
FH Edwards,2,3,48,48,1,0,0,0,0,0,75,6.0,0,0,0,0,0,0,0,38.0
VG Arora,4,6,115,84,0,1,0,0,0,0,150,8.214285714285715,0,0,0,0,0,0,0,37.75
T Thushara,4,6,106,87,0,1,0,0,0,0,150,7.310344827586207,0,0,0,0,0,0,0,37.75
BW Hilfenhaus,3,4,77,60,0,1,0,0,0,1,100,7.700000000000001,0,0,0,0,0,0,12,37.666666666666664
JC Archer,12,17,325,286,1,4,8,0,0,1,425,6.818181818181818,0,0,2,0,0,0,12,37.666666666666664
WD Parnell,9,13,260,192,2,3,8,0,0,0,325,8.125,0,0,0,0,0,0,0,37.55555555555556
BE Hendricks,2,3,93,48,0,0,4,0,0,0,75,11.625,0,0,0,0,-4,0,0,37.5
J Syed Mohammad,2,3,35,42,0,0,0,0,0,0,75,5.0,0,0,0,0,0,0,0,37.5
GB Hogg,5,7,131,102,1,2,0,8,0,0,175,7.7058823529411775,0,0,0,0,0,0,0,37.2
Z Khan,29,41,873,675,4,11,16,0,0,1,1025,7.76,0,0,0,0,0,0,12,36.827586206896555
SL Malinga,43,59,1221,1001,3,19,24,24,0,3,1475,7.318681318681319,0,0,0,0,0,0,36,36.76744186046512
KM Asif,2,3,74,42,0,0,0,0,0,0,75,10.571428571428571,0,0,0,-2,0,0,0,36.5
TS Mills,2,3,64,36,0,0,0,0,0,0,75,10.666666666666666,0,0,0,-2,0,0,0,36.5
D Pretorius,2,3,72,42,0,0,0,0,0,0,75,10.285714285714285,0,0,0,-2,0,0,0,36.5
KK Cooper,8,11,234,180,2,5,8,0,0,0,275,7.800000000000001,0,0,0,0,0,0,0,36.25
M Theekshana,5,7,137,108,0,2,4,0,0,0,175,7.611111111111112,0,0,0,0,0,0,0,36.2
PJ Sangwan,9,12,249,192,1,1,4,0,0,1,300,7.78125,0,0,0,0,0,0,12,35.333333333333336
AB McDonald,3,4,85,60,0,3,0,0,0,0,100,8.5,0,0,0,0,0,0,0,34.333333333333336
Anureet Singh,6,8,170,132,0,2,4,0,0,0,200,7.727272727272727,0,0,0,0,0,0,0,34.333333333333336
PJ Cummins,12,16,382,281,0,4,4,0,0,0,400,8.15658362989324,0,0,0,0,0,0,0,34.0
A Nehra,19,25,590,436,0,4,16,0,0,0,625,8.119266055045872,0,0,0,0,0,0,0,33.94736842105263
Harpreet Brar,9,11,218,168,1,5,4,8,0,1,275,7.7857142857142865,0,0,0,0,0,0,12,33.888888888888886
AM Salvi,3,4,93,72,1,0,0,0,0,0,100,7.75,0,0,0,0,0,0,0,33.666666666666664
Noor Ahmad,3,4,79,62,0,1,0,0,0,0,100,7.64516129032258,0,0,0,0,0,0,0,33.666666666666664
PWH de Silva,6,8,192,132,1,1,0,0,0,0,200,8.727272727272727,0,0,0,0,0,0,0,33.666666666666664
AS Joseph,6,8,226,138,0,2,0,0,0,0,200,9.826086956521738,0,0,0,0,0,0,0,33.666666666666664
SB Jakati,16,20,422,330,1,5,0,16,0,1,500,7.672727272727273,0,0,0,0,0,0,12,33.375
RD Chahar,17,22,462,390,2,3,12,0,0,0,550,7.107692307692307,0,0,0,0,0,0,0,33.35294117647059
LH Ferguson,13,16,435,289,1,4,4,8,16,0,400,9.03114186851211,0,0,0,0,0,0,0,33.30769230769231
Shivam Mavi,9,11,263,187,0,3,0,8,0,1,275,8.438502673796792,0,0,0,0,0,0,12,33.111111111111114
M Prasidh Krishna,11,14,389,254,1,1,4,8,0,0,350,9.188976377952756,0,0,0,0,0,0,0,33.09090909090909
YS Chahal,34,43,940,750,2,12,12,8,0,1,1075,7.5200000000000005,0,0,0,0,0,0,12,32.970588235294116
CH Morris,23,29,714,510,4,4,12,8,0,0,725,8.399999999999999,0,0,0,0,0,0,0,32.73913043478261
DE Bollinger,7,9,214,162,0,3,0,0,0,0,225,7.9259259259259265,0,0,0,0,0,0,0,32.57142857142857
MN Samuels,4,5,113,78,0,0,4,0,0,0,125,8.692307692307692,0,0,0,0,0,0,0,32.25
M Muralitharan,19,23,462,450,3,7,8,0,0,1,575,6.16,0,0,2,0,0,0,12,31.94736842105263
A Chandila,5,6,105,84,0,0,0,8,0,0,150,7.5,0,0,0,0,0,0,0,31.6
M Jansen,4,5,107,90,0,1,0,0,0,0,125,7.133333333333333,0,0,0,0,0,0,0,31.5
Mohammed Shami,35,42,1147,789,6,13,16,0,0,1,1050,8.722433460076045,0,0,0,0,0,0,12,31.34285714285714
Harmeet Singh,5,6,142,92,0,2,4,0,0,0,150,9.26086956521739,0,0,0,0,0,0,0,31.2
HV Patel,27,32,836,564,1,5,16,8,0,1,800,8.893617021276595,0,0,0,0,0,0,12,31.185185185185187
Rashid Khan,29,34,850,703,7,6,16,0,0,2,850,7.2546230440967285,0,0,0,0,0,0,24,31.137931034482758
KK Ahmed,14,17,492,322,0,2,8,0,0,0,425,9.167701863354036,0,0,0,0,0,0,0,31.071428571428573
JO Holder,10,12,320,207,1,1,8,0,0,0,300,9.27536231884058,0,0,0,0,0,0,0,31.0
AJ Tye,8,9,280,186,0,3,0,0,16,0,225,9.032258064516128,0,0,0,0,0,0,0,30.5
AB Dinda,11,13,285,228,1,2,4,0,0,0,325,7.5,0,0,0,0,0,0,0,30.181818181818183
A Ashish Reddy,6,7,124,84,1,4,0,0,0,0,175,8.857142857142858,0,0,0,0,0,0,0,30.0
Harbhajan Singh,54,62,1399,1157,2,11,20,8,16,1,1550,7.254969749351771,0,0,0,0,0,0,12,29.98148148148148
NM Coulter-Nile,7,8,182,162,0,2,4,0,0,0,200,6.740740740740741,0,0,2,0,0,0,0,29.714285714285715
R Bhatia,21,24,522,400,1,9,4,8,0,0,600,7.83,0,0,0,0,0,0,0,29.61904761904762
DS Kulkarni,24,27,699,501,0,3,8,0,0,2,675,8.37125748502994,0,0,0,0,0,0,24,29.583333333333332
DJ Bravo,46,52,1343,960,2,7,16,8,0,2,1300,8.39375,0,0,0,0,0,0,24,29.5
S Aravind,6,7,165,114,1,1,0,0,0,0,175,8.68421052631579,0,0,0,0,0,0,0,29.5
SN Thakur,28,32,910,612,0,3,8,0,0,1,800,8.92156862745098,0,0,0,0,0,0,12,29.392857142857142
L Balaji,20,21,605,400,0,7,0,16,0,3,525,9.075,0,0,0,0,0,0,36,29.2
JR Hazlewood,6,7,191,141,0,0,0,0,0,0,175,8.127659574468085,0,0,0,0,0,0,0,29.166666666666668
T Shamsi,1,1,21,24,0,0,0,0,0,0,25,5.25,0,4,0,0,0,0,0,29.0
MA Starc,1,1,22,24,0,0,0,0,0,0,25,5.5,0,4,0,0,0,0,0,29.0
R Vinay Kumar,28,31,821,569,2,4,8,8,0,1,775,8.657293497363796,0,0,0,0,0,0,12,28.892857142857142
CV Varun,16,18,442,372,2,5,4,0,0,0,450,7.129032258064516,0,0,0,0,0,0,0,28.8125
Iqbal Abdulla,10,11,273,210,0,1,8,0,0,0,275,7.800000000000001,0,0,0,0,0,0,0,28.4
UT Yadav,38,41,1215,835,3,8,8,16,0,1,1025,8.730538922155688,0,0,0,0,0,0,12,28.210526315789473
A Nortje,10,11,326,240,1,6,0,0,0,0,275,8.15,0,0,0,0,0,0,0,28.2
MS Gony,13,14,434,264,1,7,8,0,0,0,350,9.863636363636363,0,0,0,0,0,0,0,28.153846153846153
Mohammed Siraj,22,24,668,469,4,3,4,8,0,0,600,8.545842217484008,0,0,0,0,0,0,0,28.136363636363637
MF Maharoof,1,1,27,24,0,1,0,0,0,0,25,6.75,0,0,2,0,0,0,0,28.0
RJW Topley,1,1,14,12,0,1,0,0,0,0,25,7.0,0,0,2,0,0,0,0,28.0
IK Pathan,24,25,657,532,4,8,8,0,0,2,625,7.409774436090225,0,0,0,0,0,0,24,27.875
TA Boult,23,25,789,544,4,6,4,0,0,0,625,8.702205882352942,0,0,0,0,0,0,0,27.782608695652176
BA Bhatt,4,4,125,83,1,1,0,8,0,0,100,9.036144578313253,0,0,0,0,0,0,0,27.5
