bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
Naveen-ul-Haq,2,7,68,48,0,2,4,8,0,0,175,8.5,0,0,0,0,0,0,0,94.5
MA Wood,3,9,95,72,0,3,4,0,16,1,225,7.916666666666666,0,0,0,0,0,0,12,86.66666666666667
Ramandeep Singh,1,3,20,18,0,0,4,0,0,0,75,6.666666666666667,0,0,2,0,0,0,0,81.0
RJ Peterson,1,3,37,24,0,0,4,0,0,0,75,9.25,0,0,0,0,0,0,0,79.0
Akash Madhwal,6,13,185,123,2,5,4,8,16,0,325,9.02439024390244,0,0,0,0,0,0,0,60.0
Sohail Tanvir,4,8,89,84,0,3,8,0,0,0,200,6.357142857142858,0,0,2,0,0,0,0,53.25
Umar Gul,2,4,74,48,1,1,4,0,0,0,100,9.25,0,0,0,0,0,0,0,53.0
Mohsin Khan (2),5,10,127,108,0,1,4,8,0,0,250,7.055555555555555,0,0,0,0,0,0,0,52.6
KW Richardson,4,8,126,84,1,0,4,0,0,0,200,9.0,0,0,0,0,0,0,0,51.25
P Parameswaran,2,4,75,42,0,0,4,0,0,0,100,10.714285714285715,0,0,0,-2,0,0,0,51.0
AD Mascarenhas,1,2,34,24,1,0,0,0,0,0,50,8.5,0,0,0,0,0,0,0,51.0
SD Chitnis,1,2,40,24,0,0,0,0,0,0,50,10.0,0,0,0,0,0,0,0,50.0
DE Bollinger,6,11,148,121,0,3,8,0,0,1,275,7.338842975206611,0,0,0,0,0,0,12,49.666666666666664
AJ Tye,11,21,394,258,1,2,0,16,0,0,525,9.162790697674419,0,0,0,0,0,0,0,49.45454545454545
A Uniyal,1,2,41,24,1,0,0,0,0,0,50,10.25,0,0,0,-2,0,0,0,49.0
Arshad Khan (2),2,4,87,42,0,0,4,0,0,0,100,12.42857142857143,0,0,0,0,0,-6,0,49.0
R Ninan,1,2,31,18,0,0,0,0,0,0,50,10.333333333333334,0,0,0,-2,0,0,0,48.0
WPUJC Vaas,3,5,99,66,0,1,4,0,0,1,125,9.0,0,0,0,0,0,0,12,47.333333333333336
SW Tait,5,8,187,115,0,2,8,0,0,2,200,9.756521739130434,0,0,0,0,0,0,24,46.8
CK Langeveldt,1,2,48,24,0,0,0,0,0,0,50,12.0,0,0,0,0,-4,0,0,46.0
