bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
LE Plunkett,1,3,17,24,0,1,4,0,0,0,75,4.25,6,0,0,0,0,0,0,86.0
DAJ Bracewell,1,3,32,24,0,1,4,0,0,0,75,8.0,0,0,0,0,0,0,0,80.0
JW Hastings,1,2,6,16,0,0,0,0,0,1,50,2.25,6,0,0,0,0,0,12,68.0
L Ngidi,4,9,93,96,0,3,4,8,0,1,225,5.8125,0,4,0,0,0,0,12,64.0
M Markande,6,13,136,138,3,5,0,16,0,0,325,5.91304347826087,0,4,0,0,0,0,0,58.833333333333336
Akash Deep,2,4,65,47,0,1,4,0,0,1,100,8.297872340425533,0,0,0,0,0,0,12,58.5
Sohail Tanvir,6,13,137,139,3,5,4,8,0,0,325,5.913669064748201,0,4,0,0,0,0,0,58.166666666666664
D du Preez,2,4,56,42,0,0,4,0,0,1,100,8.0,0,0,0,0,0,0,12,58.0
Karanveer Singh,1,2,22,24,0,0,0,0,0,0,50,5.5,0,4,0,0,0,0,0,54.0
AU Rashid,1,2,23,18,2,0,0,0,0,0,50,7.666666666666666,0,0,0,0,0,0,0,52.0
Mohammad Asif,2,4,58,48,0,2,0,0,0,0,100,7.25,0,0,0,0,0,0,0,51.0
AP Dole,2,4,78,48,0,1,0,0,0,0,100,9.75,0,0,0,0,0,0,0,50.5
SS Cottrell,1,2,24,24,0,0,0,0,0,0,50,6.0,0,0,0,0,0,0,0,50.0
MA Wood,1,2,35,24,0,0,0,0,0,0,50,8.75,0,0,0,0,0,0,0,50.0
P Amarnath,1,2,29,24,0,0,0,0,0,0,50,7.25,0,0,0,0,0,0,0,50.0
CR Woakes,6,11,141,122,1,2,8,0,0,0,275,6.9344262295081975,0,0,2,0,0,0,0,48.0
DR Sams,5,9,148,120,1,0,4,8,0,0,225,7.4,0,0,0,0,0,0,0,47.6
J Theron,3,5,60,53,1,3,0,8,0,0,125,6.7924528301886795,0,0,2,0,0,0,0,46.333333333333336
CK Langeveldt,4,7,78,90,0,0,4,0,0,0,175,5.2,0,4,0,0,0,0,0,45.75
CRD Fernando,4,7,117,90,0,0,0,8,0,0,175,7.800000000000001,0,0,0,0,0,0,0,45.75
Azhar Mahmood,11,19,298,259,2,2,16,0,0,0,475,6.903474903474903,0,0,2,0,0,0,0,45.18181818181818
A Zampa,8,14,181,161,1,1,4,0,0,0,350,6.745341614906833,0,0,2,0,0,0,0,44.75
Shoaib Akhtar,3,5,54,42,1,0,0,8,0,0,125,7.714285714285715,0,0,0,0,0,0,0,44.666666666666664
Mujeeb Ur Rahman,7,12,182,168,0,3,4,0,0,0,300,6.5,0,0,2,0,0,0,0,44.142857142857146
Kamran Khan,6,10,147,126,0,4,0,8,0,0,250,7.0,0,0,2,0,0,0,0,44.0
OC McCoy,3,5,69,67,0,1,4,0,0,0,125,6.179104477611941,0,0,2,0,0,0,0,44.0
AD Mascarenhas,10,16,273,240,0,3,4,0,16,1,400,6.824999999999999,0,0,2,0,0,0,12,43.7
YA Abdulla,7,11,178,138,1,3,4,8,0,1,275,7.739130434782608,0,0,0,0,0,0,12,43.285714285714285
KR Sen,4,6,109,79,0,1,0,8,0,1,150,8.278481012658228,0,0,0,0,0,0,12,42.75
IS Sodhi,4,6,86,85,1,1,4,0,0,1,150,6.070588235294117,0,0,2,0,0,0,12,42.5
R Sai Kishore,3,5,58,48,0,0,0,0,0,0,125,7.25,0,0,0,0,0,0,0,41.666666666666664
SL Malinga,51,78,1298,1188,3,31,12,24,16,4,1950,6.555555555555555,0,0,2,0,0,0,48,40.90196078431372
AS Joseph,6,9,129,118,0,3,0,0,0,1,225,6.5593220338983045,0,0,2,0,0,0,12,40.333333333333336
NM Coulter-Nile,22,33,583,489,3,5,16,16,0,1,825,7.153374233128835,0,0,0,0,0,0,12,39.86363636363637
K Rabada,30,45,857,653,0,7,4,40,0,1,1125,7.8744257274119445,0,0,0,0,0,0,12,39.6
