striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
SC Taylor,1,76,53,1,8,0,4,8,0,143.39622641509433,76,8,0,-2,0,0,2,0,0,0,96.0
L Winfield,1,63,40,1,9,1,4,8,0,157.5,63,9,2,-2,0,4,0,0,0,0,88.0
Aftab Ahmed,1,62,49,1,8,1,4,8,0,126.53061224489797,62,8,2,-2,0,0,0,0,0,0,82.0
DL Maddy,1,50,31,1,4,2,4,8,0,161.29032258064515,50,4,4,-2,0,4,0,0,0,0,72.0
ME Trescothick,2,113,95,2,14,1,8,8,0,118.94736842105263,113,14,2,-4,0,0,0,0,0,0,70.5
Haris Sohail,1,50,36,1,5,1,4,8,0,138.88888888888889,50,5,2,-2,0,0,2,0,0,0,69.0
Shamima Sultana,1,50,43,1,6,1,4,8,0,116.27906976744187,50,6,2,-2,0,0,0,0,0,0,68.0
Mohammad Rizwan,14,752,565,14,65,22,40,56,16,133.09734513274336,752,65,44,-28,0,0,2,0,0,0,67.64285714285714
DS Smith,1,51,52,1,6,0,4,8,0,98.07692307692307,51,6,0,-2,0,0,0,0,0,0,67.0
Mohammad Naim,4,204,156,4,23,2,12,16,0,130.76923076923077,204,23,4,-8,0,0,2,0,0,0,63.25
RE Levi,3,133,71,3,6,14,4,8,16,187.32394366197184,133,6,28,-6,6,0,0,0,0,-6,63.0
SA Yadav,5,237,158,5,22,10,16,24,0,150.0,237,22,20,-10,0,0,2,0,0,0,62.2
C Jonker,1,49,24,1,5,2,4,0,0,204.16666666666666,49,5,4,-2,6,0,0,0,0,-6,60.0
Sharjeel Khan,1,47,25,1,9,1,4,0,0,188.0,47,9,2,-2,6,0,0,0,0,-6,60.0
M Raj,4,182,153,4,22,4,12,16,0,118.95424836601308,182,22,8,-8,0,0,0,0,0,0,58.0
TM McGrath,2,93,53,2,13,1,4,8,0,175.47169811320757,93,13,2,-4,6,0,0,0,0,-6,58.0
BL Mooney,6,267,188,6,40,1,12,16,16,142.0212765957447,267,40,2,-12,0,0,2,0,0,0,57.166666666666664
SFM Devine,8,358,259,8,39,11,20,16,16,138.2239382239382,358,39,22,-16,0,0,2,0,0,0,57.125
KR Mayers,4,165,112,4,13,12,12,16,0,147.32142857142858,165,13,24,-8,0,0,2,0,0,0,56.0
BL Morgan,1,46,34,1,5,0,4,0,0,135.29411764705884,46,5,0,-2,0,0,2,0,0,0,55.0
SE Marsh,1,47,40,1,2,2,4,0,0,117.5,47,2,4,-2,0,0,0,0,0,0,55.0
H Davids,3,123,90,3,14,3,8,16,0,136.66666666666666,123,14,6,-6,0,0,2,0,0,0,54.333333333333336
AC Jayangani,1,43,36,1,6,1,4,0,0,119.44444444444444,43,6,2,-2,0,0,0,0,0,0,53.0
Umar Amin,1,45,37,1,3,1,4,0,0,121.62162162162163,45,3,2,-2,0,0,0,0,0,0,52.0
TH David,2,82,43,2,9,4,8,0,0,190.69767441860466,82,9,8,-4,6,0,0,0,0,-6,51.5
DJ Malan,11,453,327,11,46,15,24,32,0,138.5321100917431,453,46,30,-22,0,0,2,0,0,0,51.36363636363637
Ishan Kishan,4,157,107,4,14,8,8,16,0,146.72897196261684,157,14,16,-8,0,0,2,0,0,0,51.25
MM Lanning,6,244,186,6,32,2,20,16,0,131.18279569892474,244,32,4,-12,0,0,2,0,0,0,51.0
Junaid Siddique,1,41,22,1,2,3,4,0,0,186.36363636363635,41,2,6,-2,6,0,0,0,0,-6,51.0
