bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
PP Ojha,1,4,21,24,0,1,0,8,0,0,100,5.25,0,4,0,0,0,0,0,113.0
NT Ellis,1,4,28,24,0,0,0,8,0,0,100,7.0,0,0,2,0,0,0,0,110.0
PM Liyanagamage,1,4,34,24,0,1,0,8,0,0,100,8.5,0,0,0,0,0,0,0,109.0
J Lewis,1,4,24,24,0,0,0,8,0,0,100,6.0,0,0,0,0,0,0,0,108.0
Naved-ul-Hasan,1,3,19,19,1,2,4,0,0,1,75,6.0,0,0,0,0,0,0,12,94.0
D Gough,1,3,16,18,0,0,4,0,0,0,75,5.333333333333333,0,4,0,0,0,0,0,83.0
AL Watkins,1,3,26,24,0,0,4,0,0,0,75,6.5,0,0,2,0,0,0,0,81.0
R Dhar,1,3,26,24,0,0,4,0,0,0,75,6.5,0,0,2,0,0,0,0,81.0
Zahid Mahmood,1,3,40,24,1,1,4,0,0,0,75,10.0,0,0,0,0,0,0,0,81.0
Shapoor Zadran,1,3,40,24,0,2,4,0,0,0,75,10.0,0,0,0,0,0,0,0,81.0
T Natarajan,1,3,30,24,1,1,4,0,0,0,75,7.5,0,0,0,0,0,0,0,81.0
SNJ O'Keefe,1,3,29,24,0,2,4,0,0,0,75,7.25,0,0,0,0,0,0,0,81.0
GD McGrath,1,3,31,24,0,0,4,0,0,0,75,7.75,0,0,0,0,0,0,0,79.0
Asmavia Iqbal,2,5,65,48,2,1,0,8,0,0,125,8.125,0,0,0,0,0,0,0,68.0
Mohammad Sami,2,5,52,48,0,1,4,0,0,0,125,6.5,0,0,2,0,0,0,0,66.0
DP Nannes,4,10,111,90,1,0,8,0,0,0,250,7.4,0,0,0,0,0,0,0,64.75
Al-Amin Hossain,3,7,80,72,0,1,8,0,0,0,175,6.666666666666667,0,0,2,0,0,0,0,62.0
KH Pandya,3,7,75,57,3,0,0,8,0,0,175,7.894736842105264,0,0,0,0,0,0,0,62.0
PD Collingwood,4,9,81,66,1,3,0,8,0,0,225,7.363636363636363,0,0,0,0,0,0,0,59.25
RJ Gleeson,2,4,54,48,0,0,4,0,0,1,100,6.75,0,0,2,0,0,0,12,59.0
A Nehra,4,9,124,96,0,2,8,0,0,0,225,7.75,0,0,0,0,0,0,0,58.75
LH Ferguson,6,13,154,138,1,4,4,0,16,0,325,6.695652173913044,0,0,2,0,0,0,0,58.666666666666664
CH Morris,5,11,153,120,1,1,4,0,0,1,275,7.6499999999999995,0,0,0,0,0,0,12,58.6
LM Kasperek,4,9,135,90,0,0,8,0,0,0,225,9.0,0,0,0,0,0,0,0,58.25
HV Patel,3,6,62,55,0,2,0,8,0,1,150,6.763636363636364,0,0,2,0,0,0,12,58.0
FC Leydon-Davis,1,2,15,24,1,0,0,0,0,0,50,3.75,6,0,0,0,0,0,0,57.0
MG Bracewell,1,2,14,24,0,0,0,0,0,0,50,3.5,6,0,0,0,0,0,0,56.0
JM Kerr,1,2,17,18,0,1,0,0,0,0,50,5.666666666666666,0,4,0,0,0,0,0,55.0
AY Patel,1,2,21,24,1,0,0,0,0,0,50,5.25,0,4,0,0,0,0,0,55.0
DN Wyatt,2,4,33,36,0,0,4,0,0,0,100,5.5,0,4,0,0,0,0,0,54.0
LCN Smith,1,2,22,24,0,0,0,0,0,0,50,5.5,0,4,0,0,0,0,0,54.0
Mujeeb Ur Rahman,4,8,92,96,2,1,0,8,0,0,200,5.75,0,4,0,0,0,0,0,53.75
R McLaren,2,4,51,48,1,0,4,0,0,0,100,6.375,0,0,2,0,0,0,0,53.5
DL Chahar,5,10,137,107,1,2,0,0,0,1,250,7.682242990654206,0,0,0,0,0,0,12,53.0
A Hartley,1,2,19,18,0,1,0,0,0,0,50,6.333333333333334,0,0,2,0,0,0,0,53.0
K Santokie,4,8,83,89,1,2,4,0,0,0,200,5.595505617977528,0,4,0,0,0,0,0,52.75
RJ Sidebottom,3,6,63,56,0,2,4,0,0,0,150,6.75,0,0,2,0,0,0,0,52.666666666666664
BE Hendricks,4,8,134,90,0,1,0,8,0,0,200,8.933333333333334,0,0,0,0,0,0,0,52.25
Imran Tahir,8,16,212,192,1,1,12,0,0,0,400,6.625,0,0,2,0,0,0,0,52.0
IE O'Brien,1,2,36,24,0,2,0,0,0,0,50,9.0,0,0,0,0,0,0,0,52.0
Nasir Hossain,1,2,26,24,0,0,0,0,0,0,50,6.5,0,0,2,0,0,0,0,52.0
Diana Baig,1,2,28,24,0,0,0,0,0,0,50,7.0,0,0,2,0,0,0,0,52.0
E Leie,2,4,48,36,0,0,4,0,0,0,100,8.0,0,0,0,0,0,0,0,52.0
LE Plunkett,5,10,156,120,0,0,8,0,0,0,250,7.800000000000001,0,0,0,0,0,0,0,51.6
Gulbadin Naib,2,4,51,48,0,1,0,0,0,0,100,6.375,0,0,2,0,0,0,0,51.5
