bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
MS Kasprowicz,1,4,29,24,0,1,0,8,0,0,100,7.25,0,0,0,0,0,0,0,109.0
AA Noffke,1,3,18,21,0,2,4,0,0,1,75,5.142857142857142,0,4,0,0,0,0,12,97.0
SJ Coyte,1,3,14,24,0,2,4,0,0,0,75,3.5,6,0,0,0,0,0,0,87.0
Mansoor Amjad,1,3,3,6,0,1,4,0,0,0,75,3.0,6,0,0,0,0,0,0,86.0
MDK Perera,1,3,26,24,1,2,4,0,0,0,75,6.5,0,0,2,0,0,0,0,84.0
NT Ellis,2,6,50,48,1,1,8,0,0,0,150,6.25,0,0,2,0,0,0,0,81.0
D Hemalatha,1,3,26,24,0,0,4,0,0,0,75,6.5,0,0,2,0,0,0,0,81.0
NA Saini,1,3,28,23,0,1,4,0,0,0,75,7.304347826086957,0,0,0,0,0,0,0,80.0
Mohammad Ashraful,1,3,42,24,0,1,4,0,0,0,75,10.5,0,0,0,-2,0,0,0,78.0
MG Bracewell,2,5,54,48,1,1,4,0,0,1,125,6.75,0,0,2,0,0,0,12,72.5
JL Denly,2,5,28,30,0,3,0,8,0,0,125,5.6,0,4,0,0,0,0,0,70.0
ML Schutt,8,19,165,175,0,9,16,8,0,2,475,5.657142857142857,0,4,0,0,0,0,24,67.0
Ebadat Hossain,2,5,91,48,0,1,4,0,0,0,125,11.375,0,0,0,0,-4,0,0,63.0
Umar Gul,8,18,219,170,2,5,4,8,16,0,450,7.729411764705883,0,0,0,0,0,0,0,60.625
Kuldeep Yadav,6,13,201,144,1,2,8,0,0,1,325,8.375,0,0,0,0,0,0,12,58.0
DP Nannes,4,8,149,96,0,1,8,0,0,1,200,9.3125,0,0,0,0,0,0,12,55.25
BW Hilfenhaus,2,4,31,42,0,3,0,0,0,0,100,4.428571428571429,6,0,0,0,0,0,0,54.5
D Wiese,4,8,171,96,0,0,4,0,16,0,200,10.6875,0,0,0,-2,0,0,0,54.5
S Molineux,3,6,63,72,0,1,0,8,0,0,150,5.25,0,4,0,0,0,0,0,54.333333333333336
HF Gurney,1,2,26,24,0,1,0,0,0,0,50,6.5,0,0,2,0,0,0,0,53.0
N Pradeep,4,8,151,96,1,2,0,8,0,0,200,9.4375,0,0,0,0,0,0,0,52.75
SHA Rance,2,4,77,48,1,0,4,0,0,0,100,9.625,0,0,0,0,0,0,0,52.5
R McLaren,2,4,59,48,1,0,4,0,0,0,100,7.375,0,0,0,0,0,0,0,52.5
ML Lewis,2,4,49,45,1,2,0,0,0,0,100,6.533333333333333,0,0,2,0,0,0,0,52.5
AB Dinda,2,4,70,42,0,1,4,0,0,0,100,10.0,0,0,0,0,0,0,0,52.5
Mohammad Wasim,3,6,145,72,1,4,0,8,0,0,150,12.083333333333332,0,0,0,0,0,-6,0,52.333333333333336
MJ Henry,2,4,76,48,0,0,4,0,0,0,100,9.5,0,0,0,0,0,0,0,52.0
JP Faulkner,10,19,331,228,0,7,12,0,16,0,475,8.710526315789473,0,0,0,0,0,0,0,51.0
MS Panesar,1,2,40,24,0,1,0,0,0,0,50,10.0,0,0,0,0,0,0,0,51.0
Arafat Sunny,1,2,34,24,0,1,0,0,0,0,50,8.5,0,0,0,0,0,0,0,51.0
