bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
TD Astle,2,7,41,36,0,3,4,8,0,0,175,6.833333333333333,0,0,2,0,0,0,0,96.0
APC Kilowan,1,3,20,20,1,1,4,0,0,1,75,6.0,0,0,0,0,0,0,12,93.0
L Balaji,3,9,78,66,0,3,12,0,0,1,225,7.090909090909092,0,0,0,0,0,0,12,84.0
SN Pradhan,1,3,30,23,0,1,4,0,0,0,75,7.826086956521739,0,0,0,0,0,0,0,80.0
L Wood,1,3,24,24,0,1,4,0,0,0,75,6.0,0,0,0,0,0,0,0,80.0
Fareed Ahmad,1,3,31,24,0,1,4,0,0,0,75,7.75,0,0,0,0,0,0,0,80.0
ST Gabriel,1,3,44,24,0,0,4,0,0,0,75,11.0,0,0,0,-2,0,0,0,77.0
NT Ellis,2,5,50,48,0,2,4,0,0,0,125,6.25,0,0,2,0,0,0,0,66.5
AB Dinda,3,7,63,60,0,0,0,8,0,1,175,6.300000000000001,0,0,2,0,0,0,12,65.66666666666667
LB Williams,2,5,74,47,0,0,4,0,0,0,125,9.446808510638299,0,0,0,0,0,0,0,64.5
RK Kleinveldt,2,4,38,26,0,0,4,0,0,2,100,8.769230769230768,0,0,0,0,0,0,24,64.0
SR Clark,3,7,57,72,0,0,0,8,0,0,175,4.75,6,0,0,0,0,0,0,63.0
Fazalhaq Farooqi,5,11,112,114,5,4,12,0,0,1,275,5.894736842105263,0,4,0,0,0,0,12,62.4
PM Liyanagamage,1,2,21,13,0,0,0,0,0,1,50,9.692307692307693,0,0,0,0,0,0,12,62.0
CN Nation,1,2,14,24,1,1,0,0,0,0,50,3.5,6,0,0,0,0,0,0,58.0
K Weeraratne,2,4,42,48,0,1,0,8,0,0,100,5.25,0,4,0,0,0,0,0,56.5
AC Voges,1,2,5,12,0,0,0,0,0,0,50,2.5,6,0,0,0,0,0,0,56.0
SM Harwood,1,2,21,24,0,1,0,0,0,0,50,5.25,0,4,0,0,0,0,0,55.0
AS Taai,1,1,9,24,0,0,0,0,0,2,25,2.25,6,0,0,0,0,0,24,55.0
RP Singh,5,10,96,102,1,6,4,8,0,0,250,5.647058823529411,0,4,0,0,0,0,0,54.6
Mariam Hasan,2,4,23,42,3,0,0,0,0,0,100,3.285714285714286,6,0,0,0,0,0,0,54.5
A Wellington,5,10,70,90,2,2,4,8,0,0,250,4.666666666666667,6,0,0,0,0,0,0,54.4
KOK Williams,12,24,263,243,1,5,12,8,0,2,600,6.493827160493828,0,0,2,0,0,0,24,54.333333333333336
A Mishra,7,14,160,162,1,3,8,0,0,1,350,5.925925925925926,0,4,0,0,0,0,12,54.0
CJ Dala,1,2,22,24,0,0,0,0,0,0,50,5.5,0,4,0,0,0,0,0,54.0
BM Wheeler,1,2,22,24,0,0,0,0,0,0,50,5.5,0,4,0,0,0,0,0,54.0
CK Langeveldt,6,12,129,126,1,5,4,8,0,0,300,6.142857142857142,0,0,2,0,0,0,0,53.333333333333336
RK Parwin,2,4,38,48,0,0,0,0,0,0,100,4.75,6,0,0,0,0,0,0,53.0
Arshdeep Singh,3,6,91,71,0,4,4,0,0,0,150,7.690140845070423,0,0,0,0,0,0,0,52.666666666666664
NJ Astle,2,4,50,41,0,1,4,0,0,0,100,7.317073170731707,0,0,0,0,0,0,0,52.5
Abu Jayed,1,2,27,24,0,0,0,0,0,0,50,6.75,0,0,2,0,0,0,0,52.0
Zulfiqar Babar,3,6,87,66,0,1,4,0,0,0,150,7.909090909090908,0,0,0,0,0,0,0,51.666666666666664
JD Unadkat,3,6,86,66,0,0,4,0,0,0,150,7.818181818181818,0,0,0,0,0,0,0,51.333333333333336
F Behardien,1,2,15,18,1,0,0,0,0,0,50,5.0,0,0,0,0,0,0,0,51.0
A Khan,1,2,34,24,0,1,0,0,0,0,50,8.5,0,0,0,0,0,0,0,51.0
R Sharma,1,2,29,22,1,0,0,0,0,0,50,7.909090909090908,0,0,0,0,0,0,0,51.0
PWH de Silva,20,38,431,438,11,13,24,16,0,0,950,5.904109589041096,0,4,0,0,0,0,0,50.9
IE O'Brien,2,4,64,48,0,0,0,0,0,0,100,8.0,0,0,0,0,0,0,0,50.0
L Ngidi,8,15,216,141,0,5,4,8,0,0,375,9.191489361702128,0,0,0,0,0,0,0,49.0
JR Hazlewood,21,37,497,448,2,10,12,32,0,3,925,6.65625,0,0,2,0,0,0,36,48.523809523809526
B Stanlake,11,20,280,246,1,2,8,8,0,0,500,6.829268292682927,0,0,2,0,0,0,0,47.36363636363637
Aizaz Cheema,4,7,95,84,1,3,0,8,0,0,175,6.785714285714286,0,0,2,0,0,0,0,47.25
OC McCoy,9,16,198,174,1,1,0,8,0,1,400,6.827586206896552,0,0,2,0,0,0,12,47.111111111111114
MA Wood,10,18,256,231,0,4,12,0,0,0,450,6.64935064935065,0,0,2,0,0,0,0,46.8
JS Patel,6,10,137,127,3,2,4,0,0,1,250,6.472440944881891,0,0,2,0,0,0,12,45.5
S Sharma,5,7,81,102,1,3,4,0,0,3,175,4.764705882352941,6,0,0,0,0,0,36,45.0
AB Agarkar,2,3,45,39,0,0,0,0,0,1,75,6.9230769230769225,0,0,2,0,0,0,12,44.5
