player,team,role,credits,sel,PlayingXI,POINTS,bat,bowl,DT
N Pooran,wi,wk,9,92.68,1,27.2,27.2,0,1
SV Samson,ind,wk,7.5,12.57,1,26.1,26.1,0,0
SD Hope,wi,wk,7.5,2.37,1,18.88,18.88,0,1
SA Yadav,ind,bat,9,84.76,1,62.2,62.2,0,1
Shubman Gill,ind,bat,9,44.49,1,40.15,40.15,0,0
SO Hetmyer,wi,bat,8,20.97,1,49.91,49.91,0,0
R Powell,wi,bat,8,68.37,1,40.77,28.11,12.66,0
Tilak Varma,ind,bat,7.5,81.63,1,44.14,44.14,0,1
BA King,wi,bat,7.5,51.52,1,24.87,24.87,0,1
YBK Jaiswal,ind,bat,6.5,37.6,1,17.87,17.87,0,0
HH Pandya,ind,all,9,92.64,1,46.8,23.92,22.88,1
JO Holder,wi,all,8.5,25.14,1,45.44,10,35.44,1
AR Patel,ind,all,8,27.53,1,37.65,16.81,20.84,0
KR Mayers,wi,all,8,53.77,1,56,56,0,0
RL Chase,wi,all,6,4.15,1,46.83,46.83,0,1
YS Chahal,ind,bowl,8.5,64.51,1,46.88,-1,47.88,0
Kuldeep Yadav,ind,bowl,8.5,79.34,1,48.11,4.11,44,0
AS Joseph,wi,bowl,8,65.31,1,55,15,40,0
Arshdeep Singh,ind,bowl,7.5,51.24,1,23.5,-1,24.5,1
R Shepherd,wi,bowl,7.5,46.39,1,84.66,36.66,48,1
Mukesh Kumar,ind,bowl,7,12.38,1,28.66,4,24.66,0
AJ Hosein,wi,bowl,7,28.69,1,43.62,17.2,26.42,1
